Pos	Unmodified_read	Modified_read	Coverage	Methylation_frequency
3502512	7	4	11	0.36363636363636365
3502524	7	4	11	0.36363636363636365
3502531	10	1	11	0.09090909090909091
3502539	10	1	11	0.09090909090909091
3502552	9	2	11	0.18181818181818182
3502560	5	6	11	0.5454545454545454
3502579	5	6	11	0.5454545454545454
3502592	5	6	11	0.5454545454545454
3502595	8	3	11	0.2727272727272727
3502597	8	3	11	0.2727272727272727
3502606	10	1	11	0.09090909090909091
3502623	8	3	11	0.2727272727272727
3502648	7	4	11	0.36363636363636365
3502650	8	3	11	0.2727272727272727
3502659	8	3	11	0.2727272727272727
3502669	8	3	11	0.2727272727272727
3502671	9	2	11	0.18181818181818182
3502678	8	3	11	0.2727272727272727
3502680	9	2	11	0.18181818181818182
3502692	8	3	11	0.2727272727272727
3502715	10	1	11	0.09090909090909091
3502735	7	4	11	0.36363636363636365
3502750	8	3	11	0.2727272727272727
3502752	9	2	11	0.18181818181818182
3502762	6	5	11	0.45454545454545453
3502780	10	1	11	0.09090909090909091
3502785	7	4	11	0.36363636363636365
3502791	6	5	11	0.45454545454545453
3502794	7	4	11	0.36363636363636365
3502803	7	4	11	0.36363636363636365
3502807	6	5	11	0.45454545454545453
3502810	6	5	11	0.45454545454545453
3502839	4	7	11	0.6363636363636364
3502845	8	3	11	0.2727272727272727
3502857	10	1	11	0.09090909090909091
3502860	11	0	11	0.0
3502862	8	3	11	0.2727272727272727
3502879	9	2	11	0.18181818181818182
3502888	6	5	11	0.45454545454545453
3502890	8	3	11	0.2727272727272727
3502893	7	4	11	0.36363636363636365
3502905	8	3	11	0.2727272727272727
3502911	9	2	11	0.18181818181818182
3502927	7	4	11	0.36363636363636365
3502939	4	7	11	0.6363636363636364
3502949	6	5	11	0.45454545454545453
3502966	8	3	11	0.2727272727272727
3502972	9	2	11	0.18181818181818182
3502975	9	2	11	0.18181818181818182
3502984	6	5	11	0.45454545454545453
3502989	6	5	11	0.45454545454545453
3503019	6	5	11	0.45454545454545453
3503024	7	4	11	0.36363636363636365
3503036	7	4	11	0.36363636363636365
3503038	4	7	11	0.6363636363636364
3503051	8	3	11	0.2727272727272727
3503073	7	4	11	0.36363636363636365
3503088	6	5	11	0.45454545454545453
3503101	11	0	11	0.0
3503120	6	5	11	0.45454545454545453
3503127	8	3	11	0.2727272727272727
3503135	7	4	11	0.36363636363636365
3503141	9	2	11	0.18181818181818182
3503143	9	2	11	0.18181818181818182
3503145	9	2	11	0.18181818181818182
3503154	9	2	11	0.18181818181818182
3503180	7	4	11	0.36363636363636365
3503187	5	6	11	0.5454545454545454
3503190	5	6	11	0.5454545454545454
3503199	3	8	11	0.7272727272727273
3503202	5	6	11	0.5454545454545454
3503213	7	4	11	0.36363636363636365
3503228	11	0	11	0.0
3503238	7	4	11	0.36363636363636365
3503246	8	3	11	0.2727272727272727
3503258	9	2	11	0.18181818181818182
3503272	8	3	11	0.2727272727272727
3503277	4	7	11	0.6363636363636364
3503288	11	0	11	0.0
3503313	6	5	11	0.45454545454545453
3503322	5	6	11	0.5454545454545454
3503346	7	4	11	0.36363636363636365
3503350	4	7	11	0.6363636363636364
3503358	2	9	11	0.8181818181818182
3503361	2	9	11	0.8181818181818182
3503381	6	5	11	0.45454545454545453
3503388	7	4	11	0.36363636363636365
3503391	8	3	11	0.2727272727272727
3503397	7	5	12	0.4166666666666667
3503421	10	2	12	0.16666666666666666
3503431	4	8	12	0.6666666666666666
3503433	5	7	12	0.5833333333333334
3503442	9	3	12	0.25
3503451	9	3	12	0.25
3503457	6	6	12	0.5
3503466	8	4	12	0.3333333333333333
3503493	8	4	12	0.3333333333333333
3503504	5	7	12	0.5833333333333334
3503523	7	5	12	0.4166666666666667
3503525	10	2	12	0.16666666666666666
3503543	6	7	13	0.5384615384615384
3503550	9	4	13	0.3076923076923077
3503568	10	3	13	0.23076923076923078
3503573	11	2	13	0.15384615384615385
3503586	11	2	13	0.15384615384615385
3503592	10	3	13	0.23076923076923078
3503601	11	2	13	0.15384615384615385
3503618	10	3	13	0.23076923076923078
3503639	8	5	13	0.38461538461538464
3503646	10	3	13	0.23076923076923078
3503664	10	3	13	0.23076923076923078
3503669	9	4	13	0.3076923076923077
3503679	12	1	13	0.07692307692307693
3503684	9	4	13	0.3076923076923077
3503689	9	4	13	0.3076923076923077
3503705	7	6	13	0.46153846153846156
3503716	12	1	13	0.07692307692307693
3503721	10	3	13	0.23076923076923078
3503741	8	5	13	0.38461538461538464
3503754	13	0	13	0.0
3503775	11	2	13	0.15384615384615385
3503777	8	5	13	0.38461538461538464
3503788	11	2	13	0.15384615384615385
3503804	10	3	13	0.23076923076923078
3503810	9	4	13	0.3076923076923077
3503817	10	3	13	0.23076923076923078
3503832	10	3	13	0.23076923076923078
3503840	10	3	13	0.23076923076923078
3503850	12	1	13	0.07692307692307693
3503862	8	5	13	0.38461538461538464
3503873	8	5	13	0.38461538461538464
3503888	2	11	13	0.8461538461538461
3503894	8	5	13	0.38461538461538464
3503900	5	8	13	0.6153846153846154
3503909	9	4	13	0.3076923076923077
3503912	11	2	13	0.15384615384615385
3503916	10	3	13	0.23076923076923078
3503918	12	1	13	0.07692307692307693
3503921	10	3	13	0.23076923076923078
3503940	13	0	13	0.0
3503959	6	7	13	0.5384615384615384
3503965	4	9	13	0.6923076923076923
3503979	10	3	13	0.23076923076923078
3503985	6	7	13	0.5384615384615384
3504000	12	1	13	0.07692307692307693
3504007	13	0	13	0.0
3504020	10	3	13	0.23076923076923078
3504047	12	1	13	0.07692307692307693
3504062	10	3	13	0.23076923076923078
3504067	9	4	13	0.3076923076923077
3504090	6	7	13	0.5384615384615384
3504096	8	5	13	0.38461538461538464
3504100	10	3	13	0.23076923076923078
3504106	12	1	13	0.07692307692307693
3504123	10	3	13	0.23076923076923078
3504125	9	4	13	0.3076923076923077
3504144	13	0	13	0.0
3504162	11	2	13	0.15384615384615385
3504168	13	0	13	0.0
3504189	9	4	13	0.3076923076923077
3504196	8	5	13	0.38461538461538464
3504208	11	2	13	0.15384615384615385
3504222	10	3	13	0.23076923076923078
3504237	8	5	13	0.38461538461538464
3504240	7	6	13	0.46153846153846156
3504250	12	1	13	0.07692307692307693
3504297	13	0	13	0.0
3504324	10	3	13	0.23076923076923078
3504333	7	6	13	0.46153846153846156
3504350	7	6	13	0.46153846153846156
3504353	7	6	13	0.46153846153846156
3504369	5	8	13	0.6153846153846154
3504379	7	6	13	0.46153846153846156
3504387	9	4	13	0.3076923076923077
3504390	9	4	13	0.3076923076923077
3504392	9	4	13	0.3076923076923077
3504395	9	4	13	0.3076923076923077
3504402	7	6	13	0.46153846153846156
3504420	13	0	13	0.0
3504429	10	3	13	0.23076923076923078
3504448	12	2	14	0.14285714285714285
3504462	12	2	14	0.14285714285714285
3504473	11	3	14	0.21428571428571427
3504500	6	8	14	0.5714285714285714
3504506	7	7	14	0.5
3504508	11	3	14	0.21428571428571427
3504534	5	9	14	0.6428571428571429
3504537	10	4	14	0.2857142857142857
3504571	13	1	14	0.07142857142857142
3504581	13	1	14	0.07142857142857142
3504583	12	2	14	0.14285714285714285
3504594	10	4	14	0.2857142857142857
3504609	10	4	14	0.2857142857142857
3504621	12	2	14	0.14285714285714285
3504628	14	0	14	0.0
3504632	12	2	14	0.14285714285714285
3504654	8	6	14	0.42857142857142855
3504663	10	4	14	0.2857142857142857
3504668	10	4	14	0.2857142857142857
3504676	6	8	14	0.5714285714285714
3504690	12	2	14	0.14285714285714285
3504713	12	2	14	0.14285714285714285
3504720	11	3	14	0.21428571428571427
3504726	10	4	14	0.2857142857142857
3504739	13	2	15	0.13333333333333333
3504741	13	2	15	0.13333333333333333
3504748	8	7	15	0.4666666666666667
3504785	9	6	15	0.4
3504792	11	4	15	0.26666666666666666
3504803	8	7	15	0.4666666666666667
3504812	8	7	15	0.4666666666666667
3504818	10	5	15	0.3333333333333333
3504821	14	1	15	0.06666666666666667
3504830	11	4	15	0.26666666666666666
3504832	13	2	15	0.13333333333333333
3504849	7	8	15	0.5333333333333333
3504853	9	6	15	0.4
3504887	15	0	15	0.0
3504896	15	0	15	0.0
3504905	15	0	15	0.0
3504920	12	3	15	0.2
3504957	11	4	15	0.26666666666666666
3504966	14	2	16	0.125
3504974	10	6	16	0.375
3504985	12	4	16	0.25
3504990	11	5	16	0.3125
3504995	12	4	16	0.25
3505005	5	11	16	0.6875
3505010	6	10	16	0.625
3505034	10	6	16	0.375
3505041	9	7	16	0.4375
3505046	15	1	16	0.0625
3505051	14	2	16	0.125
3505059	12	4	16	0.25
3505070	9	7	16	0.4375
3505073	10	6	16	0.375
3505088	14	2	16	0.125
3505103	16	0	16	0.0
3505120	9	7	16	0.4375
3505122	10	6	16	0.375
3505130	12	4	16	0.25
3505150	13	3	16	0.1875
3505157	12	4	16	0.25
3505171	15	2	17	0.11764705882352941
3505187	9	8	17	0.47058823529411764
3505193	9	8	17	0.47058823529411764
3505208	12	5	17	0.29411764705882354
3505210	12	5	17	0.29411764705882354
3505223	15	2	17	0.11764705882352941
3505229	10	7	17	0.4117647058823529
3505237	17	0	17	0.0
3505257	16	1	17	0.058823529411764705
3505280	17	0	17	0.0
3505282	16	1	17	0.058823529411764705
3505295	9	8	17	0.47058823529411764
3505311	12	5	17	0.29411764705882354
3505325	16	1	17	0.058823529411764705
3505333	15	2	17	0.11764705882352941
3505351	16	1	17	0.058823529411764705
3505354	16	1	17	0.058823529411764705
3505364	13	4	17	0.23529411764705882
3505369	13	4	17	0.23529411764705882
3505371	11	6	17	0.35294117647058826
3505377	9	8	17	0.47058823529411764
3505396	11	6	17	0.35294117647058826
3505399	12	5	17	0.29411764705882354
3505451	14	3	17	0.17647058823529413
3505460	11	6	17	0.35294117647058826
3505462	13	4	17	0.23529411764705882
3505465	14	3	17	0.17647058823529413
3505477	10	7	17	0.4117647058823529
3505482	11	6	17	0.35294117647058826
3505499	8	9	17	0.5294117647058824
3505513	13	4	17	0.23529411764705882
3505520	13	4	17	0.23529411764705882
3505535	15	2	17	0.11764705882352941
3505537	15	2	17	0.11764705882352941
3505539	11	6	17	0.35294117647058826
3505544	16	1	17	0.058823529411764705
3505567	17	0	17	0.0
3505580	14	3	17	0.17647058823529413
3505590	8	9	17	0.5294117647058824
3505592	9	8	17	0.47058823529411764
3505607	13	4	17	0.23529411764705882
3505610	6	11	17	0.6470588235294118
3505616	12	5	17	0.29411764705882354
3505627	8	9	17	0.5294117647058824
3505630	12	5	17	0.29411764705882354
3505633	10	7	17	0.4117647058823529
3505649	11	6	17	0.35294117647058826
3505679	16	1	17	0.058823529411764705
3505707	14	3	17	0.17647058823529413
3505712	11	6	17	0.35294117647058826
3505715	11	6	17	0.35294117647058826
3505727	8	9	17	0.5294117647058824
3505729	8	9	17	0.5294117647058824
3505746	17	0	17	0.0
3505754	16	1	17	0.058823529411764705
3505769	16	2	18	0.1111111111111111
3505777	15	3	18	0.16666666666666666
3505780	15	3	18	0.16666666666666666
3505782	15	3	18	0.16666666666666666
3505787	15	3	18	0.16666666666666666
3505789	15	3	18	0.16666666666666666
3505799	16	2	18	0.1111111111111111
3505801	16	2	18	0.1111111111111111
3505814	17	1	18	0.05555555555555555
3505817	11	7	18	0.3888888888888889
3505828	14	4	18	0.2222222222222222
3505860	15	3	18	0.16666666666666666
3505870	15	3	18	0.16666666666666666
3505872	15	3	18	0.16666666666666666
3505874	14	4	18	0.2222222222222222
3505892	14	4	18	0.2222222222222222
3505909	15	3	18	0.16666666666666666
3505924	18	0	18	0.0
3505930	17	1	18	0.05555555555555555
3505941	13	5	18	0.2777777777777778
3505961	9	9	18	0.5
3505979	11	7	18	0.3888888888888889
3505991	18	0	18	0.0
3506012	18	0	18	0.0
3506038	17	1	18	0.05555555555555555
3506043	16	2	18	0.1111111111111111
3506082	13	5	18	0.2777777777777778
3506100	15	2	17	0.11764705882352941
3506104	17	0	17	0.0
3506110	11	6	17	0.35294117647058826
3506125	14	3	17	0.17647058823529413
3506129	16	1	17	0.058823529411764705
3506142	17	0	17	0.0
3506164	11	6	17	0.35294117647058826
3506166	7	10	17	0.5882352941176471
3506178	17	0	17	0.0
3506188	14	3	17	0.17647058823529413
3506205	13	4	17	0.23529411764705882
3506212	14	3	17	0.17647058823529413
3506217	13	4	17	0.23529411764705882
3506227	16	1	17	0.058823529411764705
3506253	12	5	17	0.29411764705882354
3506258	13	4	17	0.23529411764705882
3506269	11	6	17	0.35294117647058826
3506272	7	10	17	0.5882352941176471
3506279	9	8	17	0.47058823529411764
3506284	11	6	17	0.35294117647058826
3506287	13	4	17	0.23529411764705882
3506294	13	4	17	0.23529411764705882
3506310	9	8	17	0.47058823529411764
3506314	6	11	17	0.6470588235294118
3506318	14	3	17	0.17647058823529413
3506335	15	2	17	0.11764705882352941
3506338	15	2	17	0.11764705882352941
3506352	8	9	17	0.5294117647058824
3506362	16	1	17	0.058823529411764705
3506374	16	1	17	0.058823529411764705
3506380	13	4	17	0.23529411764705882
3506383	9	8	17	0.47058823529411764
3506398	14	3	17	0.17647058823529413
3506419	17	0	17	0.0
3506437	17	0	17	0.0
3506446	13	4	17	0.23529411764705882
3506448	13	4	17	0.23529411764705882
3506464	15	2	17	0.11764705882352941
3506481	14	3	17	0.17647058823529413
3506483	13	4	17	0.23529411764705882
3506503	15	2	17	0.11764705882352941
3506518	10	7	17	0.4117647058823529
3506524	13	4	17	0.23529411764705882
3506533	10	7	17	0.4117647058823529
3506536	12	5	17	0.29411764705882354
3506541	14	3	17	0.17647058823529413
3506547	11	6	17	0.35294117647058826
3506575	13	4	17	0.23529411764705882
3506613	15	2	17	0.11764705882352941
3506616	11	6	17	0.35294117647058826
3506634	17	0	17	0.0
3506640	16	1	17	0.058823529411764705
3506666	12	5	17	0.29411764705882354
3506671	10	7	17	0.4117647058823529
3506675	14	3	17	0.17647058823529413
3506689	12	5	17	0.29411764705882354
3506697	16	1	17	0.058823529411764705
3506723	13	4	17	0.23529411764705882
3506729	13	4	17	0.23529411764705882
3506736	16	1	17	0.058823529411764705
3506746	11	6	17	0.35294117647058826
3506748	13	4	17	0.23529411764705882
3506784	12	5	17	0.29411764705882354
3506816	17	0	17	0.0
3506820	11	6	17	0.35294117647058826
3506831	13	4	17	0.23529411764705882
3506850	10	7	17	0.4117647058823529
3506853	12	5	17	0.29411764705882354
3506856	9	8	17	0.47058823529411764
3506893	16	1	17	0.058823529411764705
3506902	12	5	17	0.29411764705882354
3506929	9	8	17	0.47058823529411764
3506932	9	8	17	0.47058823529411764
3506968	10	7	17	0.4117647058823529
3506974	16	1	17	0.058823529411764705
3506976	15	2	17	0.11764705882352941
3507021	12	5	17	0.29411764705882354
3507033	15	2	17	0.11764705882352941
3507046	17	0	17	0.0
3507064	11	6	17	0.35294117647058826
3507072	13	4	17	0.23529411764705882
3507075	14	3	17	0.17647058823529413
3507084	15	2	17	0.11764705882352941
3507108	12	5	17	0.29411764705882354
3507120	17	0	17	0.0
3507148	17	0	17	0.0
3507180	13	4	17	0.23529411764705882
3507190	15	2	17	0.11764705882352941
3507195	17	0	17	0.0
3507197	16	1	17	0.058823529411764705
3507200	13	4	17	0.23529411764705882
3507226	13	4	17	0.23529411764705882
3507235	11	6	17	0.35294117647058826
3507239	11	6	17	0.35294117647058826
3507246	14	3	17	0.17647058823529413
3507262	10	5	15	0.3333333333333333
3507265	12	3	15	0.2
3507269	10	5	15	0.3333333333333333
3507274	8	7	15	0.4666666666666667
3507283	11	4	15	0.26666666666666666
3507295	15	0	15	0.0
3507304	9	6	15	0.4
3507312	12	3	15	0.2
3507340	14	1	15	0.06666666666666667
3507372	10	5	15	0.3333333333333333
3507378	10	5	15	0.3333333333333333
3507380	10	5	15	0.3333333333333333
3507386	9	6	15	0.4
3507389	8	7	15	0.4666666666666667
3507398	14	1	15	0.06666666666666667
3507411	14	1	15	0.06666666666666667
3507428	11	4	15	0.26666666666666666
3507440	13	2	15	0.13333333333333333
3507449	14	1	15	0.06666666666666667
3507456	6	9	15	0.6
3507507	5	10	15	0.6666666666666666
3507509	7	8	15	0.5333333333333333
3507519	7	8	15	0.5333333333333333
3507528	9	6	15	0.4
3507530	11	4	15	0.26666666666666666
3507534	9	6	15	0.4
3507539	7	8	15	0.5333333333333333
3507549	5	10	15	0.6666666666666666
3507551	6	9	15	0.6
3507554	8	7	15	0.4666666666666667
3507575	15	0	15	0.0
3507594	7	8	15	0.5333333333333333
3507605	15	0	15	0.0
3507639	11	4	15	0.26666666666666666
3507642	8	7	15	0.4666666666666667
3507670	15	0	15	0.0
3507686	12	2	14	0.14285714285714285
3507740	10	3	13	0.23076923076923078
3507759	10	3	13	0.23076923076923078
3507782	5	8	13	0.6153846153846154
3507790	12	1	13	0.07692307692307693
3507831	12	0	12	0.0
3507851	9	3	12	0.25
3507854	7	5	12	0.4166666666666667
3507856	8	4	12	0.3333333333333333
3507868	11	1	12	0.08333333333333333
3507879	8	4	12	0.3333333333333333
3507881	10	2	12	0.16666666666666666
3507896	11	1	12	0.08333333333333333
3507900	9	3	12	0.25
3507902	9	3	12	0.25
3507907	7	5	12	0.4166666666666667
3507919	5	6	11	0.5454545454545454
3507926	6	5	11	0.45454545454545453
3507933	10	1	11	0.09090909090909091
3507937	10	1	11	0.09090909090909091
3507957	7	4	11	0.36363636363636365
3507966	8	3	11	0.2727272727272727
3507975	6	5	11	0.45454545454545453
3507979	5	6	11	0.5454545454545454
3507981	6	5	11	0.45454545454545453
3507984	8	3	11	0.2727272727272727
3507990	5	6	11	0.5454545454545454
3508011	7	3	10	0.3
3508029	6	4	10	0.4
3508041	6	4	10	0.4
3508047	9	1	10	0.1
3508049	7	3	10	0.3
3508051	5	5	10	0.5
3508065	10	0	10	0.0
3508081	3	7	10	0.7
3508102	9	1	10	0.1
3508111	3	7	10	0.7
3508114	7	3	10	0.3
3508120	5	5	10	0.5
3508129	7	3	10	0.3
3508133	7	3	10	0.3
3508137	7	3	10	0.3
3508150	4	6	10	0.6
3508156	7	3	10	0.3
3508161	4	6	10	0.6
3508186	5	5	10	0.5
3508189	7	3	10	0.3
3508203	8	2	10	0.2
3508212	4	6	10	0.6
3508219	3	7	10	0.7
3508221	6	4	10	0.4
3508230	8	2	10	0.2
3508243	9	1	10	0.1
3508251	7	3	10	0.3
3508272	7	3	10	0.3
3508285	8	2	10	0.2
3508299	7	3	10	0.3
3508304	8	2	10	0.2
3508309	6	4	10	0.4
3508321	8	2	10	0.2
3508330	7	3	10	0.3
3508332	8	2	10	0.2
3508347	10	0	10	0.0
3508362	10	0	10	0.0
3508372	9	1	10	0.1
3508377	8	2	10	0.2
3508379	8	2	10	0.2
3508402	10	0	10	0.0
3508409	10	0	10	0.0
3508421	9	1	10	0.1
3508445	6	4	10	0.4
3508449	6	4	10	0.4
3508454	7	3	10	0.3
3508467	10	0	10	0.0
3508489	7	3	10	0.3
3508505	5	4	9	0.4444444444444444
3508515	9	0	9	0.0
3508530	8	1	9	0.1111111111111111
3508560	7	2	9	0.2222222222222222
3508573	6	3	9	0.3333333333333333
3508576	7	2	9	0.2222222222222222
3508609	9	0	9	0.0
3508630	4	5	9	0.5555555555555556
3508644	8	1	9	0.1111111111111111
3508650	9	0	9	0.0
3508652	7	2	9	0.2222222222222222
3508654	8	1	9	0.1111111111111111
3508670	8	1	9	0.1111111111111111
3508692	5	4	9	0.4444444444444444
3508699	4	5	9	0.5555555555555556
3508706	7	2	9	0.2222222222222222
3508713	6	3	9	0.3333333333333333
3508718	4	5	9	0.5555555555555556
3508757	7	2	9	0.2222222222222222
3508759	6	3	9	0.3333333333333333
3508785	7	2	9	0.2222222222222222
3508790	5	4	9	0.4444444444444444
3508796	6	3	9	0.3333333333333333
3508803	6	3	9	0.3333333333333333
3508811	9	0	9	0.0
3508836	5	4	9	0.4444444444444444
3508849	9	0	9	0.0
3508861	4	5	9	0.5555555555555556
3508868	9	0	9	0.0
3508879	8	0	8	0.0
3508883	4	4	8	0.5
3508891	5	3	8	0.375
3508895	6	2	8	0.25
3508898	4	4	8	0.5
3508916	7	1	8	0.125
