filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch375_read1018_strand1.fast5	89976420-89a1-4e30-a790-4a324bbb91ee	87b136ffc8ea5a243bdcff637a644011b53b6120	0	375	2	63055.235000	59.442000	118884	FALSE	63059.170500	111013	55.506500	16227	5.354887	0.000000	107.445572	9.259537	107.445572	9.259537
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch114_read6906_strand.fast5	319eafef-412a-4d45-97bc-f792dfae85c6	87b136ffc8ea5a243bdcff637a644011b53b6120	0	114	3	56579.416250	62.598750	125197	FALSE	56586.459250	111111	55.555750	12361	5.199529	0.000000	108.668533	10.657203	108.668533	10.657203
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch262_read814_strand.fast5	b93e68e5-a480-4ac7-a809-2346f4bc4d0f	87b136ffc8ea5a243bdcff637a644011b53b6120	0	262	1	15789.690500	46.323500	92647	FALSE	15791.556000	88916	44.458000	14075	6.871770	0.000000	102.379036	9.259537	102.379036	9.259537
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch279_read13169_strand.fast5	f931a7cf-380d-4a0a-a631-746b881c8cd8	87b136ffc8ea5a243bdcff637a644011b53b6120	0	279	3	43537.301500	59.290750	118581	TRUE	43539.002500	115179	57.589750	12378	7.963190	0.000000	104.999657	9.084829	104.999657	9.084829
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch269_read2204_strand.fast5	04764768-fd6d-429e-ac23-769007a3e8d0	87b136ffc8ea5a243bdcff637a644011b53b6120	0	269	3	102192.933000	43.850250	87700	FALSE	102192.939000	87688	43.844250	12894	6.162502	0.000000	112.686821	8.385996	112.686821	8.385996
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch228_read1212_strand.fast5	1b739f60-e3a2-4a8b-9ab3-7a23f4526f6d	87b136ffc8ea5a243bdcff637a644011b53b6120	0	228	2	30369.312750	62.136000	124272	FALSE	30369.313250	124271	62.135500	16237	6.543550	0.000000	81.414040	8.735413	81.414040	8.735413
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch230_read20744_strand.fast5	0611ff05-0213-4afb-b1de-b5c23b4ba2d9	87b136ffc8ea5a243bdcff637a644011b53b6120	0	230	1	18731.869500	51.427250	102854	FALSE	18732.012000	102569	51.284750	12711	6.460412	0.000000	82.462296	8.735413	82.462296	8.735413
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch443_read162_strand.fast5	f0559090-21fc-4611-89bf-2cc0e98184bb	87b136ffc8ea5a243bdcff637a644011b53b6120	0	443	1	2734.007000	96.085500	192171	TRUE	2736.466000	187253	93.626500	21262	7.518857	0.000000	88.052956	10.657203	88.052956	10.657203
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch205_read3886_strand.fast5	8a384f0b-8bb6-47ea-b044-2d3cef3ce4f3	87b136ffc8ea5a243bdcff637a644011b53b6120	0	205	2	45118.770250	65.949000	131898	TRUE	45118.856250	131726	65.863000	14041	7.171004	0.000000	87.354126	9.783662	87.354126	9.783662
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch436_read2992_strand.fast5	ac694169-bb0f-4394-81a6-0318ac28fa4f	87b136ffc8ea5a243bdcff637a644011b53b6120	0	436	2	53129.626750	48.900250	97800	FALSE	53131.452750	94148	47.074250	11153	5.970838	0.000000	83.510544	9.608953	83.510544	9.608953
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch375_read1189_strand.fast5	9a31a53c-c017-4164-b01a-dc5192b04ea8	87b136ffc8ea5a243bdcff637a644011b53b6120	0	375	2	65481.425750	37.942250	75884	FALSE	65485.333250	68069	34.034750	10585	6.350815	0.000000	109.017944	9.084829	109.017944	9.084829
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch330_read2145_strand.fast5	658a369c-1af7-4f75-bdff-bf63ce168445	87b136ffc8ea5a243bdcff637a644011b53b6120	0	330	3	44625.181000	43.775250	87550	FALSE	44627.670500	82571	41.285750	10813	6.886509	0.000000	90.149452	10.307787	90.149452	10.307787
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch430_read511_strand.fast5	094dfe6b-23ed-4195-8876-805a399fade5	87b136ffc8ea5a243bdcff637a644011b53b6120	0	430	3	6772.539500	59.125500	118251	TRUE	6772.554000	118222	59.111000	13411	7.757751	0.000000	92.770081	9.608953	92.770081	9.608953
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch294_read356_strand.fast5	b9615850-baee-4328-8829-6ad95b1e974e	87b136ffc8ea5a243bdcff637a644011b53b6120	0	294	1	8904.661750	41.975000	83950	FALSE	8908.168750	76936	38.468000	9779	6.619005	0.000000	81.588753	9.084829	81.588753	9.084829
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch311_read1440_strand.fast5	bec8b5d4-8fd7-4eb0-a457-44ce2f76fa0a	87b136ffc8ea5a243bdcff637a644011b53b6120	0	311	4	20707.018750	62.186500	124373	TRUE	20707.024250	124362	62.181000	14467	7.686328	0.000000	80.016380	9.259537	80.016380	9.259537
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch159_read630_strand.fast5	4fc94260-507c-43df-a034-3136a54ec5e3	87b136ffc8ea5a243bdcff637a644011b53b6120	0	159	3	9661.213750	46.637000	93274	TRUE	9667.909250	79883	39.941500	10409	9.445909	0.000000	87.004707	9.084829	87.004707	9.084829
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch433_read26717_strand.fast5	bcdb2988-86f0-4ad0-8a82-379a273acadf	87b136ffc8ea5a243bdcff637a644011b53b6120	0	433	4	20846.252250	53.804000	107608	FALSE	20848.941750	102229	51.114500	14827	6.521316	0.000000	92.071243	9.084829	92.071243	9.084829
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch193_read10923_strand.fast5	b8cb60c4-57cf-4e80-9e52-154346823f84	87b136ffc8ea5a243bdcff637a644011b53b6120	0	193	2	21607.312000	57.355000	114710	TRUE	21607.429000	114476	57.238000	13607	7.306324	0.000000	99.933121	10.482494	99.933121	10.482494
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch434_read696_strand.fast5	e84f0c18-081c-4a92-86ae-2d03bbc3c941	87b136ffc8ea5a243bdcff637a644011b53b6120	0	434	4	9247.063250	64.994250	129988	FALSE	9248.271250	127572	63.786250	12951	5.991129	0.000000	88.402374	11.181328	88.402374	11.181328
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch217_read1495_strand1.fast5	45e5f126-fdf4-4b5f-ae9f-967e3a11d088	87b136ffc8ea5a243bdcff637a644011b53b6120	0	217	2	19766.396500	33.776750	67553	FALSE	19766.475500	67395	33.697750	10206	5.911077	0.000000	104.300827	9.608953	104.300827	9.608953
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch252_read2417_strand.fast5	4a91dfc4-2b07-4276-b655-b8c5f07350ae	87b136ffc8ea5a243bdcff637a644011b53b6120	0	252	3	40413.952000	74.907250	149814	TRUE	40418.103500	141511	70.755750	15796	9.067288	0.000000	95.740120	8.735413	95.740120	8.735413
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch172_read1102_strand.fast5	421fce76-3e99-4738-81a0-663bafd97498	87b136ffc8ea5a243bdcff637a644011b53b6120	0	172	4	18544.668250	59.777250	119554	FALSE	18544.718750	119453	59.726750	14184	5.928206	0.000000	87.703537	10.133079	87.703537	10.133079
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch431_read800_strand.fast5	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	87b136ffc8ea5a243bdcff637a644011b53b6120	0	431	2	45039.367500	52.870000	105740	FALSE	45040.879500	102716	51.358000	16131	6.454024	0.000000	86.131165	9.084829	86.131165	9.084829
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch158_read435_strand.fast5	a8e254c1-3971-4cc8-b2e3-246fb5e4aa00	87b136ffc8ea5a243bdcff637a644011b53b6120	0	158	2	7146.602250	84.008750	168017	FALSE	7170.586250	120049	60.024750	15443	6.217239	0.000000	87.004707	10.657203	87.004707	10.657203
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch177_read479_strand.fast5	9e99c7de-6d9f-4daf-b4ab-9d175e29d906	87b136ffc8ea5a243bdcff637a644011b53b6120	0	177	3	1393.481500	45.958250	91916	FALSE	1397.900500	83078	41.539250	9176	6.443275	0.000000	88.402374	10.657203	88.402374	10.657203
