#chromosome	strand	start	end	read_name	log_lik_ratio	log_lik_methylated	log_lik_unmethylated	num_calling_strands	num_motifs	sequence
NC_000913.3	+	3497187	3497188	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497189	3497190	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3497202	3497203	8386596c-ff56-4032-b54e-8f062c194b16	-0.217	-0.421	-0.204	1	1	CG
NC_000913.3	+	3497210	3497211	8386596c-ff56-4032-b54e-8f062c194b16	-1.8	-1.81	-0.00512	1	1	CG
NC_000913.3	+	3497223	3497224	8386596c-ff56-4032-b54e-8f062c194b16	-1.39	-1.41	-0.0155	1	1	CG
NC_000913.3	+	3497226	3497227	8386596c-ff56-4032-b54e-8f062c194b16	-0.662	-0.745	-0.084	1	1	CG
NC_000913.3	+	3497244	3497245	8386596c-ff56-4032-b54e-8f062c194b16	-0.968	-1.01	-0.0428	1	1	CG
NC_000913.3	+	3497279	3497280	8386596c-ff56-4032-b54e-8f062c194b16	0.535	-0.109	-0.645	1	1	CG
NC_000913.3	+	3497295	3497296	8386596c-ff56-4032-b54e-8f062c194b16	-1.12	-1.15	-0.0298	1	1	CG
NC_000913.3	+	3497318	3497319	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497343	3497344	8386596c-ff56-4032-b54e-8f062c194b16	1.55	-0.0103	-1.56	1	1	CG
NC_000913.3	+	3497349	3497350	8386596c-ff56-4032-b54e-8f062c194b16	-0.14	-0.375	-0.235	1	1	CG
NC_000913.3	+	3497355	3497356	8386596c-ff56-4032-b54e-8f062c194b16	1.8	-0.00512	-1.81	1	1	CG
NC_000913.3	+	3497379	3497380	8386596c-ff56-4032-b54e-8f062c194b16	-1.44	-1.45	-0.0138	1	1	CG
NC_000913.3	+	3497382	3497383	8386596c-ff56-4032-b54e-8f062c194b16	1.31	-0.0191	-1.33	1	1	CG
NC_000913.3	+	3497396	3497397	8386596c-ff56-4032-b54e-8f062c194b16	0.761	-0.0678	-0.828	1	1	CG
NC_000913.3	+	3497412	3497413	8386596c-ff56-4032-b54e-8f062c194b16	0.254	-0.191	-0.444	1	1	CG
NC_000913.3	+	3497421	3497422	8386596c-ff56-4032-b54e-8f062c194b16	0.697	-0.0778	-0.775	1	1	CG
NC_000913.3	+	3497426	3497427	8386596c-ff56-4032-b54e-8f062c194b16	0.617	-0.0923	-0.709	1	1	CG
NC_000913.3	+	3497447	3497448	8386596c-ff56-4032-b54e-8f062c194b16	-0.498	-0.616	-0.118	1	1	CG
NC_000913.3	+	3497513	3497514	8386596c-ff56-4032-b54e-8f062c194b16	-0.722	-0.795	-0.0738	1	1	CG
NC_000913.3	+	3497518	3497519	8386596c-ff56-4032-b54e-8f062c194b16	1.7	-0.00684	-1.71	1	1	CG
NC_000913.3	+	3497531	3497532	8386596c-ff56-4032-b54e-8f062c194b16	0.913	-0.0484	-0.961	1	1	CG
NC_000913.3	+	3497534	3497535	8386596c-ff56-4032-b54e-8f062c194b16	1.21	-0.0244	-1.23	1	1	CG
NC_000913.3	+	3497544	3497545	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497574	3497575	8386596c-ff56-4032-b54e-8f062c194b16	-1.1	-1.13	-0.0317	1	1	CG
NC_000913.3	+	3497576	3497577	8386596c-ff56-4032-b54e-8f062c194b16	1.12	-0.0298	-1.15	1	1	CG
NC_000913.3	+	3497580	3497581	8386596c-ff56-4032-b54e-8f062c194b16	-1.05	-1.09	-0.0353	1	1	CG
NC_000913.3	+	3497586	3497587	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497598	3497599	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497609	3497610	8386596c-ff56-4032-b54e-8f062c194b16	-0.879	-0.931	-0.0522	1	1	CG
NC_000913.3	+	3497618	3497619	8386596c-ff56-4032-b54e-8f062c194b16	-0.435	-0.569	-0.134	1	1	CG
NC_000913.3	+	3497643	3497644	8386596c-ff56-4032-b54e-8f062c194b16	0.126	-0.241	-0.367	1	1	CG
NC_000913.3	+	3497654	3497655	8386596c-ff56-4032-b54e-8f062c194b16	0.254	-0.191	-0.444	1	1	CG
NC_000913.3	+	3497660	3497661	8386596c-ff56-4032-b54e-8f062c194b16	1.07	-0.0335	-1.11	1	1	CG
NC_000913.3	+	3497747	3497748	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497750	3497751	8386596c-ff56-4032-b54e-8f062c194b16	-1.12	-1.15	-0.0298	1	1	CG
NC_000913.3	+	3497756	3497757	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3497761	3497762	8386596c-ff56-4032-b54e-8f062c194b16	0.949	-0.0446	-0.993	1	1	CG
NC_000913.3	+	3497765	3497766	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497771	3497772	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497795	3497796	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497802	3497803	8386596c-ff56-4032-b54e-8f062c194b16	1.39	-0.0155	-1.41	1	1	CG
NC_000913.3	+	3497857	3497858	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497859	3497860	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497863	3497864	8386596c-ff56-4032-b54e-8f062c194b16	1.35	-0.0173	-1.37	1	1	CG
NC_000913.3	+	3497865	3497866	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497883	3497884	8386596c-ff56-4032-b54e-8f062c194b16	0.393	-0.146	-0.539	1	1	CG
NC_000913.3	+	3497897	3497898	8386596c-ff56-4032-b54e-8f062c194b16	-0.453	-0.582	-0.129	1	1	CG
NC_000913.3	+	3497902	3497903	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497925	3497926	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3497931	3497932	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497935	3497936	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497942	3497943	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497957	3497958	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3497976	3497977	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498006	3498007	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3498009	3498010	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498036	3498037	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498053	3498054	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498062	3498063	8386596c-ff56-4032-b54e-8f062c194b16	-0.662	-0.745	-0.084	1	1	CG
NC_000913.3	+	3498065	3498066	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498075	3498076	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498077	3498078	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498088	3498089	8386596c-ff56-4032-b54e-8f062c194b16	-1.62	-1.63	-0.00857	1	1	CG
NC_000913.3	+	3498090	3498091	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3498096	3498097	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498102	3498103	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498112	3498113	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498115	3498116	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498129	3498130	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3498135	3498136	8386596c-ff56-4032-b54e-8f062c194b16	0.0101	-0.294	-0.304	1	1	CG
NC_000913.3	+	3498140	3498141	8386596c-ff56-4032-b54e-8f062c194b16	0.93	-0.0465	-0.977	1	1	CG
NC_000913.3	+	3498143	3498144	8386596c-ff56-4032-b54e-8f062c194b16	-0.329	-0.494	-0.165	1	1	CG
NC_000913.3	+	3498150	3498151	8386596c-ff56-4032-b54e-8f062c194b16	0.93	-0.0465	-0.977	1	1	CG
NC_000913.3	+	3498167	3498168	8386596c-ff56-4032-b54e-8f062c194b16	-0.105	-0.355	-0.25	1	1	CG
NC_000913.3	+	3498170	3498171	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498188	3498189	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498200	3498201	8386596c-ff56-4032-b54e-8f062c194b16	-0.507	-0.623	-0.116	1	1	CG
NC_000913.3	+	3498213	3498214	8386596c-ff56-4032-b54e-8f062c194b16	1.12	-0.0298	-1.15	1	1	CG
NC_000913.3	+	3498224	3498225	8386596c-ff56-4032-b54e-8f062c194b16	-0.802	-0.864	-0.0619	1	1	CG
NC_000913.3	+	3498235	3498236	8386596c-ff56-4032-b54e-8f062c194b16	0.182	-0.218	-0.4	1	1	CG
NC_000913.3	+	3498244	3498245	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498246	3498247	8386596c-ff56-4032-b54e-8f062c194b16	-0.709	-0.785	-0.0758	1	1	CG
NC_000913.3	+	3498269	3498270	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498290	3498291	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498300	3498301	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498312	3498313	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498316	3498317	8386596c-ff56-4032-b54e-8f062c194b16	-1.1	-1.13	-0.0317	1	1	CG
NC_000913.3	+	3498333	3498334	8386596c-ff56-4032-b54e-8f062c194b16	1.39	-0.0155	-1.41	1	1	CG
NC_000913.3	+	3498338	3498339	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498349	3498350	8386596c-ff56-4032-b54e-8f062c194b16	0.896	-0.0503	-0.946	1	1	CG
NC_000913.3	+	3498352	3498353	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498355	3498356	8386596c-ff56-4032-b54e-8f062c194b16	-0.863	-0.917	-0.0541	1	1	CG
NC_000913.3	+	3498375	3498376	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498381	3498382	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498385	3498386	8386596c-ff56-4032-b54e-8f062c194b16	0.00338	-0.298	-0.301	1	1	CG
NC_000913.3	+	3498392	3498393	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498398	3498399	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498411	3498412	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498434	3498435	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498438	3498439	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498453	3498454	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498462	3498463	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498471	3498472	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498500	3498501	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498504	3498505	8386596c-ff56-4032-b54e-8f062c194b16	-1.7	-1.71	-0.00684	1	1	CG
NC_000913.3	+	3498510	3498511	8386596c-ff56-4032-b54e-8f062c194b16	-0.314	-0.484	-0.17	1	1	CG
NC_000913.3	+	3498567	3498568	8386596c-ff56-4032-b54e-8f062c194b16	-1.03	-1.07	-0.0372	1	1	CG
NC_000913.3	+	3498571	3498572	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498585	3498586	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3498607	3498608	8386596c-ff56-4032-b54e-8f062c194b16	0.461	-0.127	-0.589	1	1	CG
NC_000913.3	+	3498609	3498610	8386596c-ff56-4032-b54e-8f062c194b16	0.0575	-0.272	-0.329	1	1	CG
NC_000913.3	+	3498614	3498615	8386596c-ff56-4032-b54e-8f062c194b16	0.488	-0.12	-0.609	1	1	CG
NC_000913.3	+	3498619	3498620	8386596c-ff56-4032-b54e-8f062c194b16	0.987	-0.0409	-1.03	1	1	CG
NC_000913.3	+	3498627	3498628	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498630	3498631	8386596c-ff56-4032-b54e-8f062c194b16	1.18	-0.0262	-1.2	1	1	CG
NC_000913.3	+	3498639	3498640	8386596c-ff56-4032-b54e-8f062c194b16	1.8	-0.00512	-1.81	1	1	CG
NC_000913.3	+	3498641	3498642	8386596c-ff56-4032-b54e-8f062c194b16	-1.31	-1.33	-0.0191	1	1	CG
NC_000913.3	+	3498654	3498655	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498688	3498689	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498695	3498696	8386596c-ff56-4032-b54e-8f062c194b16	0.847	-0.0561	-0.903	1	1	CG
NC_000913.3	+	3498709	3498710	8386596c-ff56-4032-b54e-8f062c194b16	0.361	-0.155	-0.516	1	1	CG
NC_000913.3	+	3498711	3498712	8386596c-ff56-4032-b54e-8f062c194b16	0.585	-0.0986	-0.684	1	1	CG
NC_000913.3	+	3498718	3498719	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3498732	3498733	8386596c-ff56-4032-b54e-8f062c194b16	-0.47	-0.595	-0.125	1	1	CG
NC_000913.3	+	3498737	3498738	8386596c-ff56-4032-b54e-8f062c194b16	-0.0237	-0.311	-0.288	1	1	CG
NC_000913.3	+	3498751	3498752	8386596c-ff56-4032-b54e-8f062c194b16	0.21	-0.207	-0.417	1	1	CG
NC_000913.3	+	3498759	3498760	8386596c-ff56-4032-b54e-8f062c194b16	-1.24	-1.26	-0.0226	1	1	CG
NC_000913.3	+	3498783	3498784	8386596c-ff56-4032-b54e-8f062c194b16	1.49	-0.012	-1.51	1	1	CG
NC_000913.3	+	3498794	3498795	8386596c-ff56-4032-b54e-8f062c194b16	0.0643	-0.268	-0.333	1	1	CG
NC_000913.3	+	3498800	3498801	8386596c-ff56-4032-b54e-8f062c194b16	-1.12	-1.15	-0.0298	1	1	CG
NC_000913.3	+	3498809	3498810	8386596c-ff56-4032-b54e-8f062c194b16	-1.12	-1.15	-0.0298	1	1	CG
NC_000913.3	+	3498819	3498820	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498845	3498846	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498867	3498868	8386596c-ff56-4032-b54e-8f062c194b16	1.15	-0.028	-1.18	1	1	CG
NC_000913.3	+	3498882	3498883	8386596c-ff56-4032-b54e-8f062c194b16	-0.596	-0.692	-0.0965	1	1	CG
NC_000913.3	+	3498886	3498887	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498897	3498898	8386596c-ff56-4032-b54e-8f062c194b16	0.435	-0.134	-0.569	1	1	CG
NC_000913.3	+	3498912	3498913	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3498918	3498919	8386596c-ff56-4032-b54e-8f062c194b16	-0.949	-0.993	-0.0446	1	1	CG
NC_000913.3	+	3498941	3498942	8386596c-ff56-4032-b54e-8f062c194b16	0.913	-0.0484	-0.961	1	1	CG
NC_000913.3	+	3498956	3498957	8386596c-ff56-4032-b54e-8f062c194b16	1.21	-0.0244	-1.23	1	1	CG
NC_000913.3	+	3498987	3498988	8386596c-ff56-4032-b54e-8f062c194b16	0.0304	-0.284	-0.315	1	1	CG
NC_000913.3	+	3498989	3498990	8386596c-ff56-4032-b54e-8f062c194b16	-1.62	-1.63	-0.00857	1	1	CG
NC_000913.3	+	3499017	3499018	8386596c-ff56-4032-b54e-8f062c194b16	-0.337	-0.5	-0.163	1	1	CG
NC_000913.3	+	3499029	3499030	8386596c-ff56-4032-b54e-8f062c194b16	0.479	-0.123	-0.602	1	1	CG
NC_000913.3	+	3499037	3499038	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3499050	3499051	8386596c-ff56-4032-b54e-8f062c194b16	-1.49	-1.51	-0.012	1	1	CG
NC_000913.3	+	3499056	3499057	8386596c-ff56-4032-b54e-8f062c194b16	-0.662	-0.745	-0.084	1	1	CG
NC_000913.3	+	3499061	3499062	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3499070	3499071	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3499075	3499076	8386596c-ff56-4032-b54e-8f062c194b16	0.0101	-0.294	-0.304	1	1	CG
NC_000913.3	+	3499077	3499078	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3499086	3499087	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3499091	3499092	8386596c-ff56-4032-b54e-8f062c194b16	0.606	-0.0944	-0.701	1	1	CG
NC_000913.3	+	3499115	3499116	8386596c-ff56-4032-b54e-8f062c194b16	0.949	-0.0446	-0.993	1	1	CG
NC_000913.3	+	3499136	3499137	8386596c-ff56-4032-b54e-8f062c194b16	0.147	-0.232	-0.379	1	1	CG
NC_000913.3	+	3499168	3499169	8386596c-ff56-4032-b54e-8f062c194b16	-0.298	-0.474	-0.175	1	1	CG
NC_000913.3	+	3499170	3499171	8386596c-ff56-4032-b54e-8f062c194b16	-0.361	-0.516	-0.155	1	1	CG
NC_000913.3	+	3499208	3499209	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3499309	3499310	8386596c-ff56-4032-b54e-8f062c194b16	-0.987	-1.03	-0.0409	1	1	CG
NC_000913.3	+	3499317	3499318	8386596c-ff56-4032-b54e-8f062c194b16	0.189	-0.215	-0.404	1	1	CG
NC_000913.3	+	3499339	3499340	8386596c-ff56-4032-b54e-8f062c194b16	2.11	-0.0017	-2.11	1	1	CG
NC_000913.3	+	3499349	3499350	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3499371	3499372	8386596c-ff56-4032-b54e-8f062c194b16	-0.968	-1.01	-0.0428	1	1	CG
NC_000913.3	+	3499380	3499381	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3499493	3499494	8386596c-ff56-4032-b54e-8f062c194b16	0.126	-0.241	-0.367	1	1	CG
NC_000913.3	+	3499525	3499526	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3499545	3499546	8386596c-ff56-4032-b54e-8f062c194b16	0.709	-0.0758	-0.785	1	1	CG
NC_000913.3	+	3499562	3499563	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3499590	3499591	8386596c-ff56-4032-b54e-8f062c194b16	0.93	-0.0465	-0.977	1	1	CG
NC_000913.3	+	3499596	3499597	8386596c-ff56-4032-b54e-8f062c194b16	-0.734	-0.806	-0.0718	1	1	CG
NC_000913.3	+	3499630	3499631	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3499640	3499641	8386596c-ff56-4032-b54e-8f062c194b16	-0.863	-0.917	-0.0541	1	1	CG
NC_000913.3	+	3499656	3499657	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3499672	3499673	8386596c-ff56-4032-b54e-8f062c194b16	-1.93	-1.93	-0.00341	1	1	CG
NC_000913.3	+	3499678	3499679	8386596c-ff56-4032-b54e-8f062c194b16	1.12	-0.0298	-1.15	1	1	CG
NC_000913.3	+	3499707	3499708	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3499711	3499712	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3499766	3499767	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3499768	3499769	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
