Pos	Score	Read_ID	Strand
3497545	-0.9520668253484115	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497575	-6.40591656478218	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497575	-5.575891954319522	8386596c-ff56-4032-b54e-8f062c194b16	+
3497577	-2.7747624124245025	8386596c-ff56-4032-b54e-8f062c194b16	+
3497577	-3.1832994667199346	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497581	1.1508057963771696	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497581	1.222448394306185	8386596c-ff56-4032-b54e-8f062c194b16	+
3497587	-4.041086019047875	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497587	-4.018705849610355	8386596c-ff56-4032-b54e-8f062c194b16	+
3497599	-1.8127911180583203	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497599	-7.24692699471506	8386596c-ff56-4032-b54e-8f062c194b16	+
3497610	0.334100722353469	8386596c-ff56-4032-b54e-8f062c194b16	+
3497610	-4.60186389758305	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497617	-0.7477000469301353	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497617	-2.4064207659185395	8386596c-ff56-4032-b54e-8f062c194b16	+
3497619	0.45839468577819253	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497619	-1.328074767376071	8386596c-ff56-4032-b54e-8f062c194b16	+
3497632	-3.5062817729199356	8386596c-ff56-4032-b54e-8f062c194b16	+
3497632	-0.5598031268991042	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497644	-1.22968335737878	8386596c-ff56-4032-b54e-8f062c194b16	+
3497644	0.011246963823171294	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497655	-2.232086449120425	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497655	-3.2419732295713484	8386596c-ff56-4032-b54e-8f062c194b16	+
3497661	-2.1860852157714845	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497661	-0.6037173484934654	8386596c-ff56-4032-b54e-8f062c194b16	+
3497691	-1.5932725297275239	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497691	-0.14718424406922304	8386596c-ff56-4032-b54e-8f062c194b16	+
3497716	-1.8922584855298499	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497716	0.8249654384112239	8386596c-ff56-4032-b54e-8f062c194b16	+
3497748	-0.6771735508757174	8386596c-ff56-4032-b54e-8f062c194b16	+
3497748	-2.013296987197406	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497751	1.7566395012561045	8386596c-ff56-4032-b54e-8f062c194b16	+
3497751	-2.0265617889080367	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497757	1.616374296159882	8386596c-ff56-4032-b54e-8f062c194b16	+
3497757	-1.5520583197541464	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497762	-0.8620145839265971	8386596c-ff56-4032-b54e-8f062c194b16	+
3497762	-1.0756690412971568	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497766	-2.451263843329835	8386596c-ff56-4032-b54e-8f062c194b16	+
3497766	-0.09320800123298373	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497772	-1.279683927417284	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497772	-2.658816095340003	8386596c-ff56-4032-b54e-8f062c194b16	+
3497796	-0.21005833731523937	8386596c-ff56-4032-b54e-8f062c194b16	+
3497796	0.10904293460168521	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497803	0.2951982563082537	8386596c-ff56-4032-b54e-8f062c194b16	+
3497803	-0.4496451872907799	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497827	-3.388155481415658	8386596c-ff56-4032-b54e-8f062c194b16	+
3497827	-3.1084178398738276	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497858	-2.1377450970773797	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497858	-1.6100822133830754	8386596c-ff56-4032-b54e-8f062c194b16	+
3497860	-3.8495858642755323	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497860	-0.6759605369212685	8386596c-ff56-4032-b54e-8f062c194b16	+
3497864	3.3265156954756785	8386596c-ff56-4032-b54e-8f062c194b16	+
3497864	-4.808164035611247	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497866	-2.551060857139646	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497866	3.7753389667885084	8386596c-ff56-4032-b54e-8f062c194b16	+
3497881	-0.9082944222722937	8386596c-ff56-4032-b54e-8f062c194b16	+
3497881	-4.5118980850176555	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497884	1.749973893155977	8386596c-ff56-4032-b54e-8f062c194b16	+
3497884	-2.540335491689204	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497896	0.5886452186645819	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497896	0.24298479950138352	8386596c-ff56-4032-b54e-8f062c194b16	+
3497898	1.9489363950468388	8386596c-ff56-4032-b54e-8f062c194b16	+
3497898	-0.7631611754699115	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497903	-5.399300486264032	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497903	3.081967171016073	8386596c-ff56-4032-b54e-8f062c194b16	+
3497926	-6.514805306173131	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497926	1.9996216845580643	8386596c-ff56-4032-b54e-8f062c194b16	+
3497932	0.962765169802366	8386596c-ff56-4032-b54e-8f062c194b16	+
3497932	-4.4539126534607805	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497936	5.541878293426577	8386596c-ff56-4032-b54e-8f062c194b16	+
3497936	-4.91294689937517	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497943	0.7681648361847876	8386596c-ff56-4032-b54e-8f062c194b16	+
3497943	-1.7000498499434802	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497958	0.6222183143632456	8386596c-ff56-4032-b54e-8f062c194b16	+
3497958	-1.788863469409891	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497977	3.6373513176711967	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497977	2.299626791292798	8386596c-ff56-4032-b54e-8f062c194b16	+
3498007	0.9533444909361972	8386596c-ff56-4032-b54e-8f062c194b16	+
3498007	-3.4690036735866814	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498010	-3.112794965092181	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498010	-0.7782595481785878	8386596c-ff56-4032-b54e-8f062c194b16	+
3498037	-0.31238746023785124	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498037	0.6658890881175182	8386596c-ff56-4032-b54e-8f062c194b16	+
3498054	-0.06378543560371697	8386596c-ff56-4032-b54e-8f062c194b16	+
3498054	-1.8791614040828246	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498063	-1.5810971666856606	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498063	-3.2757794133816645	8386596c-ff56-4032-b54e-8f062c194b16	+
3498066	-0.3710702817984945	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498066	-0.8821071371127802	8386596c-ff56-4032-b54e-8f062c194b16	+
3498076	1.7742422540041884	8386596c-ff56-4032-b54e-8f062c194b16	+
3498076	-7.162988259113979	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498078	-1.8506909638358024	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498078	4.54681037344557	8386596c-ff56-4032-b54e-8f062c194b16	+
3498089	-0.7414469571590356	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498089	4.073617089615324	8386596c-ff56-4032-b54e-8f062c194b16	+
3498091	3.352765632607918	8386596c-ff56-4032-b54e-8f062c194b16	+
3498091	0.8229913338228511	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498097	2.083763831497152	8386596c-ff56-4032-b54e-8f062c194b16	+
3498097	-0.40940685084966877	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498103	-3.4980346134942986	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498103	1.242270120454993	8386596c-ff56-4032-b54e-8f062c194b16	+
3498113	-4.742568241091179	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498113	4.711273049550099	8386596c-ff56-4032-b54e-8f062c194b16	+
3498116	3.646193804064044	8386596c-ff56-4032-b54e-8f062c194b16	+
3498116	-3.386714671242433	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498130	0.4708975350297132	8386596c-ff56-4032-b54e-8f062c194b16	+
3498130	-2.454162301989892	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498136	-4.407333515316519	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498136	-1.6544965518487962	8386596c-ff56-4032-b54e-8f062c194b16	+
3498141	-5.969121138632168	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498141	-6.801397921975606	8386596c-ff56-4032-b54e-8f062c194b16	+
3498144	-2.411978957690282	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498144	-2.8149554631821667	8386596c-ff56-4032-b54e-8f062c194b16	+
3498151	-1.3187375952230456	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498151	3.574240300954793	8386596c-ff56-4032-b54e-8f062c194b16	+
3498168	4.897910768537449	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498168	-1.7238869591674577	8386596c-ff56-4032-b54e-8f062c194b16	+
3498171	-2.712599539789217	8386596c-ff56-4032-b54e-8f062c194b16	+
3498171	3.072781970213816	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498182	-1.4063619470626172	8386596c-ff56-4032-b54e-8f062c194b16	+
3498182	-1.6489993754715655	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498189	-0.6712121922002293	8386596c-ff56-4032-b54e-8f062c194b16	+
3498189	-0.01953890020256774	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498201	-0.7341625404729238	8386596c-ff56-4032-b54e-8f062c194b16	+
3498201	-1.9813903772543626	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498214	1.444619976139748	8386596c-ff56-4032-b54e-8f062c194b16	+
3498214	0.18189104195897854	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498225	-0.44019649636259645	8386596c-ff56-4032-b54e-8f062c194b16	+
3498225	-1.1542044372077394	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498236	-4.070285403653893	8386596c-ff56-4032-b54e-8f062c194b16	+
3498236	-3.8735505081010775	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498245	1.128809244229609	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498245	-1.4566732143383763	8386596c-ff56-4032-b54e-8f062c194b16	+
3498247	-0.6854407550257899	8386596c-ff56-4032-b54e-8f062c194b16	+
3498247	1.451751135038268	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498270	-0.29408077419640644	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498270	-1.3060483088301622	8386596c-ff56-4032-b54e-8f062c194b16	+
3498291	-0.2843098909074391	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498291	-2.602570815464837	8386596c-ff56-4032-b54e-8f062c194b16	+
3498298	-8.10091601131501	8386596c-ff56-4032-b54e-8f062c194b16	+
3498298	-2.3424183155837124	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498301	-4.268915949525739	8386596c-ff56-4032-b54e-8f062c194b16	+
3498301	1.7628493901150106	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498311	-3.714979970790934	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498311	-6.681177941182523	8386596c-ff56-4032-b54e-8f062c194b16	+
3498313	-6.407574216059596	8386596c-ff56-4032-b54e-8f062c194b16	+
3498313	-4.773873461548305	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498317	-3.2338880767452984	8386596c-ff56-4032-b54e-8f062c194b16	+
3498317	-2.790270432464816	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498334	0.9105037205069668	8386596c-ff56-4032-b54e-8f062c194b16	+
3498334	-4.163398791893115	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498339	-0.5529178123485199	8386596c-ff56-4032-b54e-8f062c194b16	+
3498339	1.2209194619451158	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498350	-8.516104778922587	8386596c-ff56-4032-b54e-8f062c194b16	+
3498350	-4.779628978287392	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498353	-1.75375162283256	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498353	-7.574897937503644	8386596c-ff56-4032-b54e-8f062c194b16	+
3498356	-0.793643136071019	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498356	-2.88767714207371	8386596c-ff56-4032-b54e-8f062c194b16	+
3498376	-4.200083106104464	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498376	-0.9900233028438312	8386596c-ff56-4032-b54e-8f062c194b16	+
3498382	1.219980425401554	8386596c-ff56-4032-b54e-8f062c194b16	+
3498382	-2.512446967745538	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498386	-0.9751706112141516	8386596c-ff56-4032-b54e-8f062c194b16	+
3498386	-0.09126480158465866	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498393	-2.9423256842400964	8386596c-ff56-4032-b54e-8f062c194b16	+
3498393	-1.516265683934487	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498399	-5.080335542231083	8386596c-ff56-4032-b54e-8f062c194b16	+
3498399	-1.339801408424278	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498412	-0.29869741777228387	8386596c-ff56-4032-b54e-8f062c194b16	+
3498412	-0.6004328534750957	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498435	-1.648375286486708	8386596c-ff56-4032-b54e-8f062c194b16	+
3498435	-2.8024825168797163	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498439	0.8596463540008096	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498439	-1.8337547910838947	8386596c-ff56-4032-b54e-8f062c194b16	+
3498454	-0.7238608470932537	8386596c-ff56-4032-b54e-8f062c194b16	+
3498454	-0.38325545342656875	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498459	-0.49826787030925124	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498459	-2.4322471801187415	8386596c-ff56-4032-b54e-8f062c194b16	+
3498463	-4.4548238503855035	8386596c-ff56-4032-b54e-8f062c194b16	+
3498463	-0.30289360144100724	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498470	-6.750097986039332	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498470	-7.685454930159877	8386596c-ff56-4032-b54e-8f062c194b16	+
3498472	-5.520815782808649	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498472	-5.340013264190775	8386596c-ff56-4032-b54e-8f062c194b16	+
3498501	-3.3924792189196227	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498501	-0.1034901870741447	8386596c-ff56-4032-b54e-8f062c194b16	+
3498505	-0.9899552221727411	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498505	-0.5766151653684118	8386596c-ff56-4032-b54e-8f062c194b16	+
3498511	-0.4629304484958175	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498511	-0.5397618801746009	8386596c-ff56-4032-b54e-8f062c194b16	+
3498568	-5.161092327593596	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498568	0.09160709243885806	8386596c-ff56-4032-b54e-8f062c194b16	+
3498572	-0.2571730142400174	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498572	-0.4126420339344026	8386596c-ff56-4032-b54e-8f062c194b16	+
3498586	-3.824681994608814	8386596c-ff56-4032-b54e-8f062c194b16	+
3498586	-2.6695995310296787	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498605	-1.081449457058599	8386596c-ff56-4032-b54e-8f062c194b16	+
3498605	-2.0183502745830264	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498608	-6.512917265428534	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498608	-5.5274050238152945	8386596c-ff56-4032-b54e-8f062c194b16	+
3498610	-4.15958343390196	8386596c-ff56-4032-b54e-8f062c194b16	+
3498610	-4.1983580582555025	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498615	-3.9643153104691455	8386596c-ff56-4032-b54e-8f062c194b16	+
3498615	-4.145744908966634	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498620	-2.737771257087562	8386596c-ff56-4032-b54e-8f062c194b16	+
3498620	-3.1329018864466067	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498628	-2.715314887936225	8386596c-ff56-4032-b54e-8f062c194b16	+
3498628	-4.509187482387848	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498631	-2.528234359457239	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498631	-3.0246864703672762	8386596c-ff56-4032-b54e-8f062c194b16	+
3498638	-2.4234388610061117	8386596c-ff56-4032-b54e-8f062c194b16	+
3498638	-2.6866286821018064	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498640	-2.106520573017757	8386596c-ff56-4032-b54e-8f062c194b16	+
3498640	-0.7983026456927018	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498642	0.362620862311407	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498642	-1.7086179668003396	8386596c-ff56-4032-b54e-8f062c194b16	+
3498655	1.5303445101934456	8386596c-ff56-4032-b54e-8f062c194b16	+
3498655	-2.8744336358138645	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498689	-3.034264511388934	8386596c-ff56-4032-b54e-8f062c194b16	+
3498689	-1.990546393391361	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498696	-3.26402847069781	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498696	-1.4699676050722494	8386596c-ff56-4032-b54e-8f062c194b16	+
3498710	-2.5379916641850997	8386596c-ff56-4032-b54e-8f062c194b16	+
3498710	-0.09758148904241015	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498712	-0.14013714852152914	8386596c-ff56-4032-b54e-8f062c194b16	+
3498712	2.673100643933525	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498719	-3.4580905802422994	8386596c-ff56-4032-b54e-8f062c194b16	+
3498719	-4.0897111332363645	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498733	-0.54684951008705	8386596c-ff56-4032-b54e-8f062c194b16	+
3498733	-1.5849061383944933	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498738	-0.4930170416587608	8386596c-ff56-4032-b54e-8f062c194b16	+
3498738	-0.38686951053549073	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498752	-0.7516590108672225	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498752	-1.1428617054423427	8386596c-ff56-4032-b54e-8f062c194b16	+
3498760	1.3700816000094849	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498760	2.059699129229961	8386596c-ff56-4032-b54e-8f062c194b16	+
3498784	-2.4648837425552688	8386596c-ff56-4032-b54e-8f062c194b16	+
3498784	1.3479177227164865	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498786	1.5192390982142538	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498786	-0.9876841108191965	8386596c-ff56-4032-b54e-8f062c194b16	+
3498795	0.14110635242920477	8386596c-ff56-4032-b54e-8f062c194b16	+
3498795	0.7292234243715675	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498801	-3.7368485154686266	8386596c-ff56-4032-b54e-8f062c194b16	+
3498801	-2.2084388629781975	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498810	1.6663693512094984	8386596c-ff56-4032-b54e-8f062c194b16	+
3498810	1.0353687922996224	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498820	1.4830817747360285	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498820	0.9871328525239452	8386596c-ff56-4032-b54e-8f062c194b16	+
3498846	-3.4565114520401123	8386596c-ff56-4032-b54e-8f062c194b16	+
3498846	-3.7516246768054766	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3498861	-0.46624668045826356	8386596c-ff56-4032-b54e-8f062c194b16	+
