names	start	values	strand
NC_000913.3	3497858	1.0	+
NC_000913.3	3497860	1.0	+
NC_000913.3	3497864	0.5	+
NC_000913.3	3497866	0.5	+
NC_000913.3	3497881	1.0	+
NC_000913.3	3497884	1.0	+
NC_000913.3	3497903	0.5	+
NC_000913.3	3497926	1.0	+
NC_000913.3	3497932	1.0	+
NC_000913.3	3497936	0.5	+
NC_000913.3	3497943	1.0	+
NC_000913.3	3497958	1.0	+
NC_000913.3	3497977	0.0	+
NC_000913.3	3498007	1.0	+
NC_000913.3	3498010	1.0	+
NC_000913.3	3498054	1.0	+
NC_000913.3	3498063	1.0	+
NC_000913.3	3498076	1.0	+
NC_000913.3	3498078	0.5	+
NC_000913.3	3498089	0.0	+
NC_000913.3	3498091	0.0	+
NC_000913.3	3498103	1.0	+
NC_000913.3	3498113	0.5	+
NC_000913.3	3498116	0.5	+
NC_000913.3	3498130	1.0	+
NC_000913.3	3498136	1.0	+
NC_000913.3	3498141	1.0	+
NC_000913.3	3498144	1.0	+
NC_000913.3	3498151	0.0	+
NC_000913.3	3498168	0.5	+
NC_000913.3	3498171	0.5	+
NC_000913.3	3498182	1.0	+
NC_000913.3	3498201	1.0	+
NC_000913.3	3498236	1.0	+
NC_000913.3	3498291	1.0	+
NC_000913.3	3498298	1.0	+
NC_000913.3	3498301	1.0	+
NC_000913.3	3498311	1.0	+
NC_000913.3	3498313	1.0	+
NC_000913.3	3498317	1.0	+
NC_000913.3	3498334	1.0	+
NC_000913.3	3498350	1.0	+
NC_000913.3	3498353	1.0	+
NC_000913.3	3498356	1.0	+
NC_000913.3	3498376	1.0	+
NC_000913.3	3498382	1.0	+
NC_000913.3	3498386	1.0	+
NC_000913.3	3498393	1.0	+
NC_000913.3	3498399	1.0	+
NC_000913.3	3498435	1.0	+
NC_000913.3	3498439	1.0	+
NC_000913.3	3498459	1.0	+
NC_000913.3	3498463	1.0	+
NC_000913.3	3498470	1.0	+
NC_000913.3	3498472	1.0	+
NC_000913.3	3498501	1.0	+
NC_000913.3	3498568	1.0	+
NC_000913.3	3498586	1.0	+
NC_000913.3	3498605	1.0	+
NC_000913.3	3498608	1.0	+
NC_000913.3	3498610	1.0	+
NC_000913.3	3498615	1.0	+
NC_000913.3	3498620	1.0	+
NC_000913.3	3498628	1.0	+
NC_000913.3	3498631	1.0	+
NC_000913.3	3498638	1.0	+
NC_000913.3	3498640	1.0	+
NC_000913.3	3498642	1.0	+
NC_000913.3	3498655	1.0	+
NC_000913.3	3498689	1.0	+
NC_000913.3	3498696	1.0	+
NC_000913.3	3498710	1.0	+
NC_000913.3	3498719	1.0	+
NC_000913.3	3498733	1.0	+
NC_000913.3	3498784	1.0	+
NC_000913.3	3498801	1.0	+
NC_000913.3	3498846	1.0	+
NC_000913.3	3498861	1.0	+
NC_000913.3	3498866	1.0	+
NC_000913.3	3498868	1.0	+
NC_000913.3	3498883	1.0	+
NC_000913.3	3498887	1.0	+
NC_000913.3	3498898	1.0	+
NC_000913.3	3498913	1.0	+
NC_000913.3	3498942	1.0	+
NC_000913.3	3498957	1.0	+
NC_000913.3	3498988	1.0	+
NC_000913.3	3498990	1.0	+
NC_000913.3	3499018	1.0	+
NC_000913.3	3499030	1.0	+
NC_000913.3	3499038	1.0	+
NC_000913.3	3499051	1.0	+
NC_000913.3	3499057	1.0	+
NC_000913.3	3499062	1.0	+
NC_000913.3	3499071	1.0	+
NC_000913.3	3499076	0.0	+
NC_000913.3	3499078	0.0	+
NC_000913.3	3499087	1.0	+
NC_000913.3	3499092	0.0	+
NC_000913.3	3499116	1.0	+
NC_000913.3	3499137	1.0	+
NC_000913.3	3499154	1.0	+
NC_000913.3	3499169	1.0	+
NC_000913.3	3499171	1.0	+
NC_000913.3	3499310	1.0	+
NC_000913.3	3499340	1.0	+
NC_000913.3	3499350	1.0	+
NC_000913.3	3499372	1.0	+
NC_000913.3	3499381	1.0	+
NC_000913.3	3499494	1.0	+
NC_000913.3	3499495	1.0	-
NC_000913.3	3499526	1.0	+
NC_000913.3	3499527	1.0	-
NC_000913.3	3499546	1.0	+
NC_000913.3	3499547	1.0	-
NC_000913.3	3499564	1.0	-
NC_000913.3	3499591	1.0	+
NC_000913.3	3499592	1.0	-
NC_000913.3	3499631	1.0	+
NC_000913.3	3499632	1.0	-
NC_000913.3	3499641	1.0	+
NC_000913.3	3499642	1.0	-
NC_000913.3	3499654	1.0	+
NC_000913.3	3499655	1.0	-
NC_000913.3	3499657	1.0	+
NC_000913.3	3499658	1.0	-
NC_000913.3	3499674	1.0	-
NC_000913.3	3499679	1.0	+
NC_000913.3	3499680	1.0	-
NC_000913.3	3499709	1.0	-
NC_000913.3	3499713	1.0	-
NC_000913.3	3499767	1.0	+
NC_000913.3	3499768	1.0	-
NC_000913.3	3499770	1.0	-
NC_000913.3	3499779	1.0	+
NC_000913.3	3499780	1.0	-
NC_000913.3	3499884	1.0	-
NC_000913.3	3499906	1.0	+
NC_000913.3	3499931	1.0	+
NC_000913.3	3499951	1.0	+
NC_000913.3	3499963	1.0	+
NC_000913.3	3499966	1.0	+
NC_000913.3	3499967	1.0	-
NC_000913.3	3499969	1.0	+
NC_000913.3	3499970	1.0	-
NC_000913.3	3499978	1.0	+
NC_000913.3	3499979	1.0	-
NC_000913.3	3499981	1.0	+
NC_000913.3	3499982	1.0	-
NC_000913.3	3499988	1.0	-
NC_000913.3	3500025	1.0	+
NC_000913.3	3500026	1.0	-
NC_000913.3	3500031	1.0	+
NC_000913.3	3500032	1.0	-
NC_000913.3	3500034	1.0	+
NC_000913.3	3500035	1.0	-
NC_000913.3	3500043	1.0	+
NC_000913.3	3500044	1.0	-
NC_000913.3	3500051	0.6667	-
NC_000913.3	3500053	1.0	-
NC_000913.3	3500065	1.0	+
NC_000913.3	3500066	1.0	-
NC_000913.3	3500083	1.0	-
NC_000913.3	3500092	1.0	+
NC_000913.3	3500093	1.0	-
NC_000913.3	3500100	1.0	+
NC_000913.3	3500113	1.0	+
NC_000913.3	3500122	1.0	-
NC_000913.3	3500131	1.0	+
NC_000913.3	3500132	1.0	-
NC_000913.3	3500158	1.0	+
NC_000913.3	3500165	1.0	+
NC_000913.3	3500166	1.0	-
NC_000913.3	3500170	1.0	-
NC_000913.3	3500186	1.0	-
NC_000913.3	3500209	1.0	+
NC_000913.3	3500210	1.0	-
NC_000913.3	3500214	1.0	+
NC_000913.3	3500215	0.5	-
NC_000913.3	3500218	1.0	-
NC_000913.3	3500226	1.0	+
NC_000913.3	3500227	1.0	-
NC_000913.3	3500235	1.0	+
NC_000913.3	3500236	1.0	-
NC_000913.3	3500241	1.0	+
NC_000913.3	3500242	1.0	-
NC_000913.3	3500268	1.0	+
NC_000913.3	3500269	1.0	-
NC_000913.3	3500275	1.0	+
NC_000913.3	3500276	1.0	-
NC_000913.3	3500281	1.0	-
NC_000913.3	3500287	1.0	+
NC_000913.3	3500288	1.0	-
NC_000913.3	3500299	1.0	+
NC_000913.3	3500300	1.0	-
NC_000913.3	3500302	1.0	+
NC_000913.3	3500303	1.0	-
NC_000913.3	3500305	1.0	+
NC_000913.3	3500306	0.6667	-
NC_000913.3	3500317	1.0	+
NC_000913.3	3500318	1.0	-
NC_000913.3	3500339	0.6667	+
NC_000913.3	3500340	1.0	-
NC_000913.3	3500345	1.0	-
NC_000913.3	3500353	1.0	+
NC_000913.3	3500354	1.0	-
NC_000913.3	3500357	1.0	-
NC_000913.3	3500362	1.0	-
NC_000913.3	3500370	1.0	+
NC_000913.3	3500371	1.0	-
NC_000913.3	3500383	1.0	+
NC_000913.3	3500384	1.0	-
NC_000913.3	3500398	1.0	-
NC_000913.3	3500407	1.0	+
NC_000913.3	3500408	1.0	-
NC_000913.3	3500439	1.0	+
NC_000913.3	3500440	1.0	-
NC_000913.3	3500452	1.0	+
NC_000913.3	3500453	1.0	-
NC_000913.3	3500469	1.0	+
NC_000913.3	3500470	1.0	-
NC_000913.3	3500476	1.0	+
NC_000913.3	3500477	1.0	-
NC_000913.3	3500481	1.0	+
NC_000913.3	3500496	1.0	+
NC_000913.3	3500497	1.0	-
NC_000913.3	3500505	1.0	+
NC_000913.3	3500506	1.0	-
NC_000913.3	3500529	1.0	+
NC_000913.3	3500530	1.0	-
NC_000913.3	3500536	1.0	+
NC_000913.3	3500537	1.0	-
NC_000913.3	3500563	1.0	+
NC_000913.3	3500564	1.0	-
NC_000913.3	3500566	1.0	+
NC_000913.3	3500567	1.0	-
NC_000913.3	3500581	0.0	+
NC_000913.3	3500597	1.0	+
NC_000913.3	3500598	1.0	-
NC_000913.3	3500601	1.0	+
NC_000913.3	3500602	1.0	-
NC_000913.3	3500649	1.0	+
NC_000913.3	3500650	1.0	-
NC_000913.3	3500663	1.0	-
NC_000913.3	3500677	1.0	+
NC_000913.3	3500678	1.0	-
NC_000913.3	3500686	1.0	+
NC_000913.3	3500687	0.0	-
NC_000913.3	3500700	0.6667	+
NC_000913.3	3500701	1.0	-
NC_000913.3	3500703	1.0	+
NC_000913.3	3500704	1.0	-
NC_000913.3	3500710	1.0	+
NC_000913.3	3500711	1.0	-
NC_000913.3	3500713	1.0	+
NC_000913.3	3500714	1.0	-
NC_000913.3	3500731	0.0	+
NC_000913.3	3500732	1.0	-
NC_000913.3	3500737	1.0	+
NC_000913.3	3500738	1.0	-
NC_000913.3	3500769	1.0	+
NC_000913.3	3500770	1.0	-
NC_000913.3	3500772	1.0	+
NC_000913.3	3500773	1.0	-
NC_000913.3	3500779	1.0	+
NC_000913.3	3500780	1.0	-
NC_000913.3	3500793	1.0	+
NC_000913.3	3500794	1.0	-
NC_000913.3	3500806	1.0	+
NC_000913.3	3500807	1.0	-
NC_000913.3	3500820	1.0	+
NC_000913.3	3500821	1.0	-
NC_000913.3	3500822	1.0	+
NC_000913.3	3500823	1.0	-
NC_000913.3	3500833	1.0	+
NC_000913.3	3500834	1.0	-
NC_000913.3	3500836	1.0	-
NC_000913.3	3500841	1.0	+
NC_000913.3	3500842	1.0	-
NC_000913.3	3500869	1.0	+
NC_000913.3	3500870	1.0	-
NC_000913.3	3500884	1.0	-
NC_000913.3	3500895	1.0	+
NC_000913.3	3500896	0.75	-
NC_000913.3	3500898	1.0	+
NC_000913.3	3500899	0.75	-
NC_000913.3	3500925	1.0	+
NC_000913.3	3500926	1.0	-
NC_000913.3	3500947	1.0	+
NC_000913.3	3500948	0.75	-
NC_000913.3	3500954	1.0	-
NC_000913.3	3501016	1.0	+
NC_000913.3	3501017	1.0	-
NC_000913.3	3501035	1.0	+
NC_000913.3	3501036	1.0	-
NC_000913.3	3501041	1.0	+
NC_000913.3	3501042	1.0	-
NC_000913.3	3501043	1.0	+
NC_000913.3	3501044	1.0	-
NC_000913.3	3501046	1.0	+
NC_000913.3	3501047	1.0	-
NC_000913.3	3501057	0.5	+
NC_000913.3	3501065	1.0	+
NC_000913.3	3501066	1.0	-
NC_000913.3	3501073	1.0	-
NC_000913.3	3501079	1.0	+
NC_000913.3	3501097	1.0	+
NC_000913.3	3501098	1.0	-
NC_000913.3	3501105	0.5	+
NC_000913.3	3501106	1.0	-
NC_000913.3	3501124	1.0	+
NC_000913.3	3501125	1.0	-
NC_000913.3	3501147	1.0	+
NC_000913.3	3501148	1.0	-
NC_000913.3	3501155	1.0	-
NC_000913.3	3501166	1.0	+
NC_000913.3	3501167	1.0	-
NC_000913.3	3501169	0.75	+
NC_000913.3	3501170	1.0	-
NC_000913.3	3501175	1.0	+
NC_000913.3	3501176	1.0	-
NC_000913.3	3501202	1.0	+
NC_000913.3	3501203	1.0	-
NC_000913.3	3501213	1.0	+
NC_000913.3	3501214	1.0	-
NC_000913.3	3501218	1.0	+
NC_000913.3	3501219	0.75	-
NC_000913.3	3501224	1.0	+
NC_000913.3	3501225	1.0	-
NC_000913.3	3501235	1.0	+
NC_000913.3	3501243	1.0	+
NC_000913.3	3501244	1.0	-
NC_000913.3	3501291	1.0	+
NC_000913.3	3501309	1.0	+
NC_000913.3	3501310	1.0	-
NC_000913.3	3501351	1.0	+
NC_000913.3	3501352	1.0	-
NC_000913.3	3501356	1.0	+
NC_000913.3	3501357	1.0	-
NC_000913.3	3501366	0.5	+
NC_000913.3	3501367	1.0	-
NC_000913.3	3501372	1.0	+
NC_000913.3	3501391	1.0	+
NC_000913.3	3501392	0.75	-
NC_000913.3	3501393	1.0	+
NC_000913.3	3501394	1.0	-
NC_000913.3	3501403	1.0	+
NC_000913.3	3501404	1.0	-
NC_000913.3	3501414	1.0	+
NC_000913.3	3501415	1.0	-
NC_000913.3	3501423	1.0	+
NC_000913.3	3501428	1.0	+
NC_000913.3	3501429	1.0	-
NC_000913.3	3501438	1.0	+
NC_000913.3	3501439	1.0	-
NC_000913.3	3501440	0.5	+
NC_000913.3	3501441	1.0	-
NC_000913.3	3501443	0.8	+
NC_000913.3	3501444	1.0	-
NC_000913.3	3501449	1.0	+
NC_000913.3	3501450	1.0	-
NC_000913.3	3501452	1.0	+
NC_000913.3	3501453	1.0	-
NC_000913.3	3501464	1.0	+
NC_000913.3	3501465	1.0	-
NC_000913.3	3501469	1.0	+
NC_000913.3	3501470	1.0	-
NC_000913.3	3501478	1.0	-
NC_000913.3	3501492	1.0	+
NC_000913.3	3501493	1.0	-
NC_000913.3	3501501	1.0	+
NC_000913.3	3501502	1.0	-
NC_000913.3	3501516	1.0	+
NC_000913.3	3501517	1.0	-
NC_000913.3	3501527	1.0	+
NC_000913.3	3501528	0.6	-
NC_000913.3	3501532	1.0	+
NC_000913.3	3501533	1.0	-
NC_000913.3	3501537	1.0	+
NC_000913.3	3501538	1.0	-
NC_000913.3	3501540	1.0	+
NC_000913.3	3501541	1.0	-
NC_000913.3	3501544	1.0	+
NC_000913.3	3501545	1.0	-
NC_000913.3	3501549	0.75	+
NC_000913.3	3501550	1.0	-
NC_000913.3	3501561	1.0	+
NC_000913.3	3501562	1.0	-
NC_000913.3	3501573	1.0	+
NC_000913.3	3501574	1.0	-
NC_000913.3	3501582	1.0	+
NC_000913.3	3501583	1.0	-
NC_000913.3	3501599	1.0	+
NC_000913.3	3501600	1.0	-
NC_000913.3	3501613	1.0	+
NC_000913.3	3501621	1.0	+
NC_000913.3	3501622	1.0	-
NC_000913.3	3501624	0.75	+
NC_000913.3	3501625	1.0	-
NC_000913.3	3501635	1.0	+
NC_000913.3	3501636	1.0	-
NC_000913.3	3501638	1.0	+
NC_000913.3	3501639	0.8333	-
NC_000913.3	3501649	1.0	+
NC_000913.3	3501650	1.0	-
NC_000913.3	3501651	0.8333	+
NC_000913.3	3501652	1.0	-
NC_000913.3	3501653	0.8	+
NC_000913.3	3501654	0.8	-
NC_000913.3	3501663	1.0	-
NC_000913.3	3501671	1.0	+
NC_000913.3	3501672	1.0	-
NC_000913.3	3501674	1.0	+
NC_000913.3	3501675	1.0	-
NC_000913.3	3501677	1.0	+
NC_000913.3	3501678	1.0	-
NC_000913.3	3501702	1.0	+
NC_000913.3	3501703	1.0	-
NC_000913.3	3501741	1.0	+
NC_000913.3	3501742	1.0	-
NC_000913.3	3501763	0.75	+
NC_000913.3	3501764	1.0	-
NC_000913.3	3501768	1.0	+
NC_000913.3	3501769	1.0	-
NC_000913.3	3501770	1.0	+
NC_000913.3	3501771	1.0	-
NC_000913.3	3501773	1.0	+
NC_000913.3	3501774	1.0	-
NC_000913.3	3501777	1.0	+
NC_000913.3	3501778	1.0	-
NC_000913.3	3501779	0.8333	+
NC_000913.3	3501780	1.0	-
NC_000913.3	3501786	1.0	+
NC_000913.3	3501787	1.0	-
NC_000913.3	3501801	1.0	+
NC_000913.3	3501802	1.0	-
NC_000913.3	3501818	1.0	+
NC_000913.3	3501819	1.0	-
NC_000913.3	3501824	0.8571	+
NC_000913.3	3501825	0.8333	-
NC_000913.3	3501828	1.0	+
NC_000913.3	3501829	1.0	-
NC_000913.3	3501841	0.875	+
NC_000913.3	3501842	1.0	-
NC_000913.3	3501862	1.0	+
NC_000913.3	3501863	1.0	-
NC_000913.3	3501893	1.0	+
NC_000913.3	3501894	1.0	-
NC_000913.3	3501906	1.0	+
NC_000913.3	3501907	1.0	-
NC_000913.3	3501914	1.0	+
NC_000913.3	3501915	0.0	-
NC_000913.3	3501920	0.2	+
NC_000913.3	3501925	1.0	+
NC_000913.3	3501926	1.0	-
NC_000913.3	3501929	1.0	+
NC_000913.3	3501930	1.0	-
NC_000913.3	3501956	0.875	+
NC_000913.3	3501957	1.0	-
NC_000913.3	3501977	0.8571	+
NC_000913.3	3501978	0.8571	-
NC_000913.3	3501981	0.8	+
NC_000913.3	3501982	0.75	-
NC_000913.3	3501987	1.0	+
NC_000913.3	3501988	1.0	-
NC_000913.3	3501999	1.0	+
NC_000913.3	3502000	1.0	-
NC_000913.3	3502009	1.0	+
NC_000913.3	3502010	1.0	-
NC_000913.3	3502019	1.0	+
NC_000913.3	3502020	1.0	-
NC_000913.3	3502032	1.0	+
NC_000913.3	3502033	1.0	-
NC_000913.3	3502037	1.0	+
NC_000913.3	3502041	1.0	+
NC_000913.3	3502042	1.0	-
NC_000913.3	3502047	1.0	-
NC_000913.3	3502062	1.0	+
NC_000913.3	3502063	1.0	-
NC_000913.3	3502078	1.0	+
NC_000913.3	3502079	0.5	-
NC_000913.3	3502089	1.0	+
NC_000913.3	3502090	1.0	-
NC_000913.3	3502093	1.0	+
NC_000913.3	3502094	1.0	-
NC_000913.3	3502095	1.0	+
NC_000913.3	3502096	1.0	-
NC_000913.3	3502117	1.0	+
NC_000913.3	3502118	1.0	-
NC_000913.3	3502128	1.0	+
NC_000913.3	3502129	1.0	-
NC_000913.3	3502134	1.0	+
NC_000913.3	3502135	1.0	-
NC_000913.3	3502140	1.0	+
NC_000913.3	3502141	1.0	-
NC_000913.3	3502146	1.0	+
NC_000913.3	3502147	0.8333	-
NC_000913.3	3502149	1.0	+
NC_000913.3	3502150	1.0	-
NC_000913.3	3502157	0.6667	+
NC_000913.3	3502158	1.0	-
NC_000913.3	3502173	1.0	-
NC_000913.3	3502184	1.0	+
NC_000913.3	3502185	1.0	-
NC_000913.3	3502197	1.0	+
NC_000913.3	3502198	0.5	-
NC_000913.3	3502258	0.8889	+
NC_000913.3	3502259	1.0	-
NC_000913.3	3502261	0.9	+
NC_000913.3	3502262	1.0	-
NC_000913.3	3502269	0.4	+
NC_000913.3	3502270	1.0	-
NC_000913.3	3502300	1.0	+
NC_000913.3	3502301	1.0	-
NC_000913.3	3502306	1.0	-
NC_000913.3	3502311	1.0	+
NC_000913.3	3502312	1.0	-
NC_000913.3	3502316	1.0	+
NC_000913.3	3502317	1.0	-
NC_000913.3	3502324	0.6667	+
NC_000913.3	3502325	1.0	-
NC_000913.3	3502339	0.8571	-
NC_000913.3	3502363	0.875	+
NC_000913.3	3502364	1.0	-
NC_000913.3	3502373	0.3333	+
NC_000913.3	3502374	1.0	-
NC_000913.3	3502390	1.0	+
NC_000913.3	3502391	1.0	-
NC_000913.3	3502397	1.0	+
NC_000913.3	3502398	1.0	-
NC_000913.3	3502408	1.0	+
NC_000913.3	3502409	1.0	-
NC_000913.3	3502420	1.0	+
NC_000913.3	3502421	1.0	-
NC_000913.3	3502423	1.0	+
NC_000913.3	3502424	1.0	-
NC_000913.3	3502429	1.0	+
NC_000913.3	3502430	1.0	-
NC_000913.3	3502441	1.0	+
NC_000913.3	3502442	0.8	-
NC_000913.3	3502445	1.0	+
NC_000913.3	3502446	1.0	-
NC_000913.3	3502449	1.0	+
NC_000913.3	3502450	1.0	-
NC_000913.3	3502453	0.8889	+
NC_000913.3	3502454	1.0	-
NC_000913.3	3502455	1.0	+
NC_000913.3	3502456	1.0	-
NC_000913.3	3502459	1.0	+
NC_000913.3	3502460	1.0	-
NC_000913.3	3502461	1.0	+
NC_000913.3	3502462	1.0	-
NC_000913.3	3502464	1.0	+
NC_000913.3	3502465	1.0	-
NC_000913.3	3502476	1.0	+
NC_000913.3	3502477	1.0	-
NC_000913.3	3502480	1.0	+
NC_000913.3	3502481	1.0	-
NC_000913.3	3502500	1.0	+
NC_000913.3	3502501	0.75	-
NC_000913.3	3502506	0.8182	+
NC_000913.3	3502507	0.875	-
NC_000913.3	3502512	1.0	+
NC_000913.3	3502513	1.0	-
NC_000913.3	3502524	1.0	+
NC_000913.3	3502525	1.0	-
NC_000913.3	3502531	1.0	+
NC_000913.3	3502532	1.0	-
NC_000913.3	3502539	1.0	+
NC_000913.3	3502540	0.875	-
NC_000913.3	3502552	1.0	+
NC_000913.3	3502553	0.8571	-
NC_000913.3	3502560	1.0	+
NC_000913.3	3502561	0.8889	-
NC_000913.3	3502579	0.9231	+
NC_000913.3	3502580	0.8889	-
NC_000913.3	3502592	1.0	+
NC_000913.3	3502593	0.8889	-
NC_000913.3	3502595	1.0	+
NC_000913.3	3502596	0.8889	-
NC_000913.3	3502597	1.0	+
NC_000913.3	3502598	0.8571	-
NC_000913.3	3502606	1.0	+
NC_000913.3	3502607	1.0	-
NC_000913.3	3502623	1.0	+
NC_000913.3	3502624	0.875	-
NC_000913.3	3502648	1.0	+
NC_000913.3	3502649	0.8333	-
NC_000913.3	3502650	1.0	+
NC_000913.3	3502651	0.8571	-
NC_000913.3	3502659	1.0	+
NC_000913.3	3502660	0.6667	-
NC_000913.3	3502669	0.8	+
NC_000913.3	3502670	0.8571	-
NC_000913.3	3502671	0.75	+
NC_000913.3	3502672	1.0	-
NC_000913.3	3502678	1.0	+
NC_000913.3	3502679	0.6667	-
NC_000913.3	3502680	1.0	+
NC_000913.3	3502681	0.6667	-
NC_000913.3	3502692	1.0	+
NC_000913.3	3502693	0.8333	-
NC_000913.3	3502715	1.0	+
NC_000913.3	3502716	0.75	-
NC_000913.3	3502735	1.0	+
NC_000913.3	3502736	1.0	-
NC_000913.3	3502750	0.8182	+
NC_000913.3	3502751	0.75	-
NC_000913.3	3502752	0.75	+
NC_000913.3	3502753	1.0	-
NC_000913.3	3502762	1.0	+
NC_000913.3	3502763	0.8333	-
NC_000913.3	3502780	1.0	+
NC_000913.3	3502781	0.75	-
NC_000913.3	3502785	1.0	+
NC_000913.3	3502786	1.0	-
NC_000913.3	3502791	0.8889	+
NC_000913.3	3502792	1.0	-
NC_000913.3	3502794	1.0	+
NC_000913.3	3502795	0.875	-
NC_000913.3	3502803	1.0	+
NC_000913.3	3502804	1.0	-
NC_000913.3	3502807	1.0	+
NC_000913.3	3502808	1.0	-
NC_000913.3	3502810	1.0	+
NC_000913.3	3502811	1.0	-
NC_000913.3	3502839	0.8889	+
NC_000913.3	3502840	0.6	-
NC_000913.3	3502845	1.0	+
NC_000913.3	3502846	0.8333	-
NC_000913.3	3502857	1.0	+
NC_000913.3	3502858	0.6	-
NC_000913.3	3502860	1.0	+
NC_000913.3	3502861	0.8333	-
NC_000913.3	3502862	0.8889	+
NC_000913.3	3502863	1.0	-
NC_000913.3	3502879	1.0	+
NC_000913.3	3502880	1.0	-
NC_000913.3	3502888	1.0	+
NC_000913.3	3502889	0.7143	-
NC_000913.3	3502890	1.0	+
NC_000913.3	3502891	0.7143	-
NC_000913.3	3502893	1.0	+
NC_000913.3	3502894	1.0	-
NC_000913.3	3502905	1.0	+
NC_000913.3	3502906	0.75	-
NC_000913.3	3502911	1.0	+
NC_000913.3	3502912	1.0	-
NC_000913.3	3502927	1.0	+
NC_000913.3	3502928	1.0	-
NC_000913.3	3502939	1.0	+
NC_000913.3	3502940	0.8889	-
NC_000913.3	3502949	1.0	+
NC_000913.3	3502950	1.0	-
NC_000913.3	3502966	1.0	+
NC_000913.3	3502967	1.0	-
NC_000913.3	3502972	1.0	+
NC_000913.3	3502973	1.0	-
NC_000913.3	3502975	1.0	+
NC_000913.3	3502976	0.6667	-
NC_000913.3	3502984	0.5	+
NC_000913.3	3502985	1.0	-
NC_000913.3	3502989	0.9167	+
NC_000913.3	3502990	0.6	-
NC_000913.3	3503019	0.8889	+
NC_000913.3	3503020	1.0	-
NC_000913.3	3503024	1.0	+
NC_000913.3	3503025	0.5	-
NC_000913.3	3503036	1.0	+
NC_000913.3	3503037	1.0	-
NC_000913.3	3503038	0.875	+
NC_000913.3	3503039	1.0	-
NC_000913.3	3503051	1.0	+
NC_000913.3	3503052	1.0	-
NC_000913.3	3503073	0.8182	+
NC_000913.3	3503074	1.0	-
NC_000913.3	3503088	0.8	+
NC_000913.3	3503089	1.0	-
NC_000913.3	3503101	1.0	+
NC_000913.3	3503102	1.0	-
NC_000913.3	3503120	1.0	+
NC_000913.3	3503121	1.0	-
NC_000913.3	3503127	0.8462	+
NC_000913.3	3503128	1.0	-
NC_000913.3	3503135	1.0	+
NC_000913.3	3503136	1.0	-
NC_000913.3	3503141	1.0	+
NC_000913.3	3503142	1.0	-
NC_000913.3	3503143	1.0	+
NC_000913.3	3503144	1.0	-
NC_000913.3	3503145	1.0	+
NC_000913.3	3503146	1.0	-
NC_000913.3	3503154	1.0	+
NC_000913.3	3503155	1.0	-
NC_000913.3	3503180	1.0	+
NC_000913.3	3503181	1.0	-
NC_000913.3	3503187	1.0	+
NC_000913.3	3503188	0.8889	-
NC_000913.3	3503190	1.0	+
NC_000913.3	3503191	0.8889	-
NC_000913.3	3503199	1.0	+
NC_000913.3	3503200	0.875	-
NC_000913.3	3503202	1.0	+
NC_000913.3	3503203	1.0	-
NC_000913.3	3503213	0.5	+
NC_000913.3	3503214	1.0	-
NC_000913.3	3503228	1.0	+
NC_000913.3	3503229	1.0	-
NC_000913.3	3503238	1.0	+
