Chr	Pos	Strand	Log.like.ratio	Read_ID
NC_000913.3	3500226	+	-2.95	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500235	+	-2.95	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500241	+	-2.95	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500268	+	0.2	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500275	+	0.2	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500280	+	0.2	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500287	+	0.2	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500299	+	-0.79	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500302	+	-0.79	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500305	+	-0.79	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500317	+	-0.0	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500339	+	0.44	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500344	+	0.44	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500353	+	0.44	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500356	+	0.44	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500361	+	0.44	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500370	+	0.44	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500383	+	-0.01	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500397	+	-1.03	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500407	+	-1.03	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500439	+	1.1	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500452	+	0.1	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500469	+	-0.3	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500476	+	-0.3	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500481	+	-0.3	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500496	+	0.05	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500505	+	0.05	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500529	+	0.05	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500536	+	0.05	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500563	+	-0.11	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500566	+	-0.11	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500581	+	0.83	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500597	+	-0.7	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500601	+	-0.7	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500649	+	-0.17	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500662	+	-4.5	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500677	+	4.7	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500686	+	4.7	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500700	+	1.08	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500703	+	1.08	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500710	+	1.08	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500713	+	1.08	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500731	+	1.54	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500737	+	1.54	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500746	+	1.54	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500769	+	-2.11	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500772	+	-2.11	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500779	+	-2.11	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500793	+	1.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500806	+	-0.64	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500820	+	0.66	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500822	+	0.66	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500833	+	-2.42	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500835	+	-2.42	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500841	+	-2.42	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500869	+	1.68	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500883	+	0.3	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500895	+	-0.74	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500898	+	-0.74	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500925	+	3.12	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500947	+	0.42	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500953	+	0.42	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501016	+	-1.63	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501035	+	-0.05	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501041	+	-0.05	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501043	+	-0.05	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501046	+	-0.05	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501057	+	-1.31	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501065	+	-1.31	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501072	+	-1.31	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501079	+	-1.31	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501097	+	0.4	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501105	+	0.4	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501124	+	0.84	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501147	+	0.58	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501154	+	0.58	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501166	+	2.27	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501169	+	2.27	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501175	+	2.27	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501202	+	1.05	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501213	+	0.72	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501218	+	0.72	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501224	+	0.72	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501235	+	0.9	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501243	+	0.9	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501291	+	-0.01	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501309	+	1.14	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501351	+	-1.34	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501356	+	-1.34	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501366	+	-1.34	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501372	+	-1.34	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501391	+	6.9	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501393	+	6.9	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501403	+	6.9	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501414	+	-3.59	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501423	+	-3.59	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501428	+	-3.59	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501438	+	-3.59	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501440	+	-3.59	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501443	+	-3.59	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501449	+	-3.59	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501452	+	-3.59	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501464	+	1.5	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501469	+	1.5	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501477	+	1.5	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501492	+	1.27	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501501	+	1.27	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501516	+	-0.38	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501527	+	1.98	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501532	+	1.98	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501537	+	1.98	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501540	+	1.98	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501544	+	1.98	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501549	+	1.98	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501561	+	3.25	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501573	+	-0.39	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501582	+	-0.39	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501599	+	-0.01	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501613	+	-3.28	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501621	+	-3.28	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501624	+	-3.28	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501635	+	-1.66	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501638	+	-1.66	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501649	+	-0.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501651	+	-0.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501653	+	-0.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501662	+	-0.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501671	+	-0.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501674	+	-0.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501677	+	-0.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501702	+	1.39	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501741	+	0.58	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501763	+	-1.94	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501768	+	-1.94	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501770	+	-1.94	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501773	+	-1.94	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501777	+	-1.94	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501779	+	-1.94	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501786	+	-1.94	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501801	+	3.98	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501818	+	2.35	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501824	+	2.35	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501828	+	2.35	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501841	+	-3.87	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501862	+	-0.11	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501893	+	1.78	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501906	+	3.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501914	+	3.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501920	+	3.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501925	+	3.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501929	+	3.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501956	+	-1.84	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501977	+	0.4	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501981	+	0.4	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501987	+	0.4	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3501999	+	1.37	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502009	+	1.37	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502019	+	1.37	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502032	+	-0.03	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502037	+	-0.03	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502041	+	-0.03	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502046	+	-0.03	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502062	+	-0.23	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502078	+	-0.78	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502089	+	1.52	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502093	+	1.52	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502095	+	1.52	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502117	+	-0.62	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502128	+	2.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502134	+	2.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502140	+	2.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502146	+	2.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502149	+	2.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502157	+	2.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502172	+	-0.36	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502184	+	1.25	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502197	+	0.05	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502250	+	-0.72	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502258	+	-0.72	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502261	+	-0.72	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502269	+	-0.72	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502300	+	-2.1	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502305	+	-2.1	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502311	+	-2.1	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502316	+	-2.1	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502324	+	-2.1	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502338	+	-0.74	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502363	+	1.45	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502373	+	1.45	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502390	+	1.36	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502397	+	1.36	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502408	+	3.11	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502420	+	2.11	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502423	+	2.11	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502429	+	2.11	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502441	+	-2.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502445	+	-2.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502449	+	-2.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502453	+	-2.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502455	+	-2.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502459	+	-2.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502461	+	-2.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502464	+	-2.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502476	+	-0.24	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502480	+	-0.24	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502500	+	0.47	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502506	+	0.47	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502512	+	0.47	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502524	+	-1.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502531	+	-1.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502539	+	-1.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502552	+	0.71	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502560	+	0.71	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502579	+	0.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502592	+	2.24	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502595	+	2.24	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502597	+	2.24	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502606	+	2.24	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502623	+	-0.03	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502648	+	-6.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502650	+	-6.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502659	+	-6.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502669	+	-6.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502671	+	-6.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502678	+	-6.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502680	+	-6.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502692	+	1.31	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502715	+	-0.46	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502735	+	-0.14	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502750	+	3.92	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502752	+	3.92	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502762	+	3.92	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502780	+	1.84	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502785	+	1.84	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502791	+	1.84	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502794	+	1.84	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502803	+	1.84	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502807	+	1.84	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502810	+	1.84	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502839	+	-1.35	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502845	+	-1.35	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502857	+	1.54	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502860	+	1.54	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502862	+	1.54	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502879	+	0.1	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502888	+	0.1	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502890	+	0.1	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502893	+	0.1	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502905	+	2.18	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502911	+	2.18	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502927	+	2.76	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502939	+	-3.54	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502949	+	-3.54	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502966	+	3.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502972	+	3.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502975	+	3.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502984	+	3.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3502989	+	3.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503019	+	-0.73	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503024	+	-0.73	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503036	+	-0.25	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503038	+	-0.25	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503051	+	0.73	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503073	+	-0.43	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503088	+	3.49	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503101	+	0.51	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503120	+	3.89	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503127	+	3.89	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503135	+	3.89	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503141	+	3.89	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503143	+	3.89	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503145	+	3.89	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503154	+	3.89	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503180	+	-0.53	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503187	+	-0.53	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503190	+	-0.53	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503199	+	-0.53	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503202	+	-0.53	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503213	+	-0.33	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3503228	+	0.76	094dfe6b-23ed-4195-8876-805a399fade5
